text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
HEPATITIS A VACCINE,"[0, 0, 100, 20]",1,62.79,3,1,0.0085,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
W H A T  Y O U  N E E D  T O  K N O W,"[0, 0, 100, 20]",1,24.0,17,1,0.0085,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
1 What is hepatitis A?,"[0, 0, 100, 20]",1,14.0,5,0,0.009,0.4,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Hepatitis A is a serious liver disease caused by the hepatitis A virus HAV. HAV is found in the stool of persons with hepatitis A. It is usually spread by close personal contact and sometimes by eating food or drinking water containing HAV.,"[0, 0, 100, 20]",1,11.5,43,0,0.099,0.18604651162790697,0.18604651162790697,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Hepatitis A can cause: mild “flu-like” illness jaundice yellow skin or eyes severe stomach pains and diarrhea,"[0, 0, 100, 20]",1,11.5,17,0,0.0465,0.05263157894736842,0.1111111111111111,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,
People with hepatitis A often have to be hospitalized up to about 1 person in 5.,"[0, 0, 100, 20]",1,11.5,16,0,0.0325,0.1875,0.125,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Sometimes, people die as a result of hepatitis A about 3-5 deaths per 1,000 cases.","[0, 0, 100, 20]",1,11.5,15,0,0.034,0.06666666666666667,0.11764705882352941,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
A person who has hepatitis A can easily pass the disease to others within the same household.,"[0, 0, 100, 20]",1,11.5,17,0,0.0385,0.11764705882352941,0.11764705882352941,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Hepatitis A vaccine can prevent hepatitis A.,"[0, 0, 100, 20]",1,11.5,7,0,0.019,0.14285714285714285,0.42857142857142855,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Who should get hepatitis A vaccine and when?,"[0, 0, 100, 20]",1,14.0,8,0,0.0185,0.25,0.25,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
WHO?,"[0, 0, 100, 20]",1,11.5,1,1,0.002,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Some people should be routinely vaccinated with hepatitis A vaccine:,"[0, 0, 100, 20]",1,11.5,10,0,0.0295,0.2,0.2,1,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
