text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
HEPATITIS A VACCINE,"[0, 0, 100, 20]",1,62.79,3,1,0.0085,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
W H A T  Y O U  N E E D  T O  K N O W,"[0, 0, 100, 20]",1,24,17,1,0.0085,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
1 What is hepatitis A?,"[0, 0, 100, 20]",1,14,5,0,0.009,0,0.4,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Hepatitis A is a serious liver disease caused by the hepatitis A virus HAV. HAV is found in the stool of persons with hepatitis A. It is usually spread by close personal contact and sometimes by eating food or drinking water containing HAV.,"[0, 0, 100, 20]",1,11.5,43,0,0.099,0,0.186046512,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Hepatitis A can cause: mild “flu-like” illness jaundice yellow skin or eyes severe stomach pains and diarrhea,"[0, 0, 100, 20]",1,11.5,17,0,0.0465,0,0.111111111,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
People with hepatitis A often have to be hospitalized up to about 1 person in 5.,"[0, 0, 100, 20]",1,11.5,16,0,0.0325,0,0.125,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Sometimes, people die as a result of hepatitis A about 3-5 deaths per 1,000 cases.","[0, 0, 100, 20]",1,11.5,15,0,0.034,0,0.117647059,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
A person who has hepatitis A can easily pass the disease to others within the same household.,"[0, 0, 100, 20]",1,11.5,17,0,0.0385,0,0.117647059,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Hepatitis A vaccine can prevent hepatitis A.,"[0, 0, 100, 20]",1,11.5,7,0,0.019,0,0.428571429,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Who should get hepatitis A vaccine and when?,"[0, 0, 100, 20]",1,14,8,0,0.0185,0,0.25,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
WHO?,"[0, 0, 100, 20]",1,11.5,1,1,0.002,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Some people should be routinely vaccinated with hepatitis A vaccine:,"[0, 0, 100, 20]",1,11.5,10,0,0.0295,0,0.2,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
All children 1 year 12 through 23 months of age.,"[0, 0, 100, 20]",1,11.5,10,0,0.0195,0,0.1,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Persons 1 year of age and older traveling to or working in countries with high or intermediate prevalence of hepatitis A, such as those located in Central or South America, Mexico, Asia except Japan, Africa, and eastern Europe. For more information see www.cdc.gov/travel .","[0, 0, 100, 20]",1,11.5,44,0,0.115,0,0.239130435,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Children and adolescents through 18 years of age who live in states or communities where,"[0, 0, 100, 20]",1,11.5,15,0,0.037,0,0.066666667,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
routine vaccination has been implemented because of high disease incidence.,"[0, 0, 100, 20]",1,11.5,10,0,0.033,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Men who have sex with men.,"[0, 0, 100, 20]",1,11.5,6,0,0.0105,0,0.166666667,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Persons who use street drugs.,"[0, 0, 100, 20]",1,11.5,5,0,0.0125,0,0.2,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Persons with chronic liver disease.,"[0, 0, 100, 20]",1,11.5,5,0,0.0155,0,0.2,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Persons who are treated with clotting factor concentrates.,"[0, 0, 100, 20]",1,11.5,8,0,0.0255,0,0.125,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Persons who work with HAV-infected primates or who work with HAV in research laboratories.,"[0, 0, 100, 20]",1,11.5,14,0,0.0385,0,0.2,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Other people might get hepatitis A vaccine in special situations:,"[0, 0, 100, 20]",1,11.5,10,0,0.028,0,0.2,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Hepatitis A vaccine might be recommended for children or adolescents in communities where outbreaks of hepatitis A are occurring.,"[0, 0, 100, 20]",1,11.5,19,0,0.0555,0,0.157894737,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Hepatitis A vaccine is not licensed for children younger than 1 year of age.,"[0, 0, 100, 20]",1,11.5,14,0,0.0315,0,0.142857143,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
WHEN?,"[0, 0, 100, 20]",1,11.5,1,1,0.0025,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"For children, the first dose should be given at 12-23 months of age. Children who are not vaccinated by 2 years of age can be vaccinated at later visits.","[0, 0, 100, 20]",1,11.5,29,0,0.0625,0,0.066666667,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"For travelers, the vaccine series should be started at least one month before traveling to provide the best protection.","[0, 0, 100, 20]",1,11.5,19,0,0.0505,0,0.052631579,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Persons who get the vaccine less than one month before traveling can also get a shot called immune globulin IG. IG gives immediate, temporary protection.","[0, 0, 100, 20]",1,11.5,25,0,0.0645,0,0.12,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"For others, the hepatitis A vaccine series may be started whenever a person is at risk of infection.","[0, 0, 100, 20]",1,11.5,18,0,0.0415,0,0.111111111,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Two doses of the vaccine are needed for lasting protection. These doses should be given at least 6 months apart.,"[0, 0, 100, 20]",1,11.5,20,0,0.0465,0,0.1,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Hepatitis A vaccine may be given at the same time as other vaccines.,"[0, 0, 100, 20]",1,11.5,13,0,0.028,0,0.153846154,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Hepatitis A 3/21/06,"[0, 0, 100, 20]",1,12,3,0,0.0085,0,0.4,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Some people should not get 3 hepatitis A vaccine or should wait,"[0, 0, 100, 20]",2,14,12,0,0.026,0,0.166666667,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Anyone who has ever had a severe lifethreatening allergic reaction to a previous dose of hepatitis A vaccine should not get another dose.,"[0, 0, 100, 20]",2,11.5,23,0,0.0575,0,0.086956522,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
