text,bbox,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
"Note: If you select Retain Some Layers In The Selected Page, you?ll be prompted to choose which Visio layers to include.","[0, 0, 200, 20]",12,21,0,0.025,0.2857142857142857,0.45454545454545453,-0.31,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
"1. Click Convert To Adobe PDF, specify a location and filename, and click Save .","[100, 0, 200, 20]",12,15,0,0.033,0.07142857142857142,0.42857142857142855,-0.23,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Select Visio layers to convert Acrobat Pro,"[100, 0, 200, 20]",16.02,7,0,0.018,0.14285714285714285,0.5714285714285714,4.53,-31.5,0,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"You can convert a Visio drawing that contains layers to a PDF and retain some or all of the layers in the resulting PDF, or you can flatten the layers. You can also organize the Visio layers in layer sets, which are folders in the Acrobat Layers panel.","[100, 0, 200, 20]",12,48,0,0.1025,0.14583333333333334,0.16666666666666666,0.1367,0,1,0.6667,-1.34,0.6667,0.3333,0,0,0.6667,1,1,0,0.6667,0,0,0,1,0.3333,0,0,0.6667,0
"1. With the multilayered file open in Visio, click a button in the Adobe PDF toolbar, and select Retain Some Layers In The Selected Page .","[100, 0, 200, 20]",12,26,0,0.0565,0.08,0.44,0.385,24.75,0,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Note: If the Retain Some Layers In The Selected Page option is not available, deselect the Convert All Pages In Drawing option.","[100, 0, 200, 20]",12,22,0,0.053,0.09090909090909091,0.6363636363636364,1.385,0,1,0,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
2. Select one or more layers in the Layers In Visio Drawing list.,"[100, 0, 200, 20]",12,13,0,0.0265,0,0.38461538461538464,-0.23,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"3. To add the selected Visio layers to the list of layers to convert to the PDF file, do one of the following:","[100, 0, 200, 20]",12,23,0,0.044,0.17391304347826086,0.13043478260869565,0.39,9,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"To convert the selected Visio layers to individual PDF layers within a PDF layer set, click Create Layer Set, and optionally, type a layer name.","[100, 0, 200, 20]",12,25,0,0.06,0.12,0.28,0.385,18,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"To convert the selected Visio layers to individual layers but not grouped under a layer set, click the Add Layers button.","[100, 0, 200, 20]",12,21,0,0.0505,0.19047619047619047,0.19047619047619047,0.14,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Note: The name of a layer in the Layers In Visio Drawing list is unavailable if that layer is included in the Layers In PDF list. When you select that layer in the Layers In PDF list, a bullet appears next to the layer?s name in the Layers In Visio Drawing list.","[100, 0, 200, 20]",12,52,0,0.1055,0.09615384615384616,0.32075471698113206,0.6733,-12,0.6667,0,0,0,0.3333,0,0,0,1,1,0.3333,0.3333,0,0,0,1,0,0,0,1,0
"4. Optionally, do any of the following:","[100, 0, 200, 20]",12,7,0,0.0165,0.14285714285714285,0.14285714285714285,0.93,-18,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"To reorder the layers in the Layers In PDF list, drag an item up or down in the list.","[100, 0, 200, 20]",12,19,0,0.0335,0.10526315789473684,0.21052631578947367,0.39,27,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"To include a visibility property that can be switched on or off in Acrobat, deselect Locked On adjacent to the PDF layer; to lock the resulting PDF layer?s visibility on, select Locked On .","[100, 0, 200, 20]",12,34,0,0.078,0.21212121212121213,0.23529411764705882,0.0167,0,1,0.3333,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
