text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
1 teaspoon thyme 1 teaspoon rosemary 1/4 cup olive oil Salt and pepper to taste,"[0, 0, 100, 20]",1,12,15,0,0.0325,0,0.0625,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Preheat oven to 375°F 190°C. In a large baking dish, layer diced eggplant, zucchini, bell pepper, onion, and tomatoes. In a bowl, mix minced garlic, olive oil, thyme, rosemary, salt, and pepper. Pour the mixture over the vegetables and toss to coat. Bake for 45 minutes until vegetables are tender. Serve warm.","[0, 0, 100, 20]",1,12,52,0,0.1295,0,0.148148148,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Roast Chicken,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 whole chicken 1 lemon, halved 4 cloves garlic, minced 1/4 cup olive oil 1 tablespoon fresh rosemary, chopped 1 tablespoon fresh thyme, chopped Salt and pepper to taste","[0, 0, 100, 20]",1,12,29,0,0.0705,0,0.033333333,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Preheat oven to 375°F 190°C. Season the chicken with salt and pepper. Stuff the cavity with lemon halves and minced garlic. In a bowl, mix olive oil, chopped rosemary, and chopped thyme. Brush the mixture over the chicken. Place the chicken in a roasting pan and roast for 1 hour and 30 minutes until cooked through. Let rest before carving and serving.","[0, 0, 100, 20]",1,12,62,0,0.146,0,0.140625,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Shrimp and Grits,"[0, 0, 100, 20]",1,12,3,0,0.007,0,0.666666667,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound shrimp, peeled and deveined 1 cup grits 4 cups water 1/2 cup cheddar cheese, shredded 1/4 cup butter 1 small onion, diced 2 cloves garlic, minced","[0, 0, 100, 20]",1,12,28,0,0.063,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"1/4 cup bacon, chopped 1/4 cup green onions, sliced Salt and pepper to taste","[0, 0, 100, 20]",2,12,14,0,0.0315,0,0.0625,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a pot, bring water to a boil and stir in grits. Reduce heat and simmer until thickened, then stir in shredded cheddar cheese and butter. In a skillet, cook chopped bacon until crispy, then set aside. In the same skillet, sauté diced onion and minced garlic until softened. Add shrimp and cook until pink and opaque. Stir in cooked bacon and sliced green onions. Serve shrimp mixture over grits.","[0, 0, 100, 20]",2,12,70,0,0.164,0,0.1,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Spaghetti Carbonara,"[0, 0, 100, 20]",2,12,2,0,0.009,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound spaghetti 4 eggs 1 cup grated Parmesan cheese 1/2 cup pancetta, diced 2 cloves garlic, minced 1/4 cup heavy cream optional Salt and pepper to taste Chopped parsley for garnish","[0, 0, 100, 20]",2,12,32,0,0.076,0,0.088235294,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Cook spaghetti according to package instructions. In a skillet, cook diced pancetta until crispy, then set aside. In a bowl, whisk eggs, grated Parmesan cheese, and heavy cream if using. In the same skillet, sauté minced garlic until fragrant. Add cooked spaghetti and toss to coat. Remove from heat and quickly stir in the egg mixture, pancetta, salt, and pepper. Garnish with chopped parsley and serve.","[0, 0, 100, 20]",2,12,66,0,0.1695,0,0.121212121,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Stuffed Bell Peppers,"[0, 0, 100, 20]",2,12,3,0,0.009,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"4 bell peppers, tops cut off and seeds removed 1 pound ground beef 1 small onion, diced 2 cloves garlic, minced 1 cup cooked rice 1 can 14.5 ounces diced tomatoes","[0, 0, 100, 20]",2,12,31,0,0.066,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
1 cup shredded cheese 1 teaspoon oregano 1 teaspoon basil 2 tablespoons olive oil Salt and pepper to taste,"[0, 0, 100, 20]",3,12,19,0,0.044,0,0.052631579,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Sweet and Sour Pork,"[0, 0, 100, 20]",3,12,4,0,0.008,0,0.75,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound pork tenderloin, cubed 1 bell pepper, diced 1 small onion, diced 1/2 cup pineapple chunks 1/4 cup ketchup 1/4 cup rice vinegar 1/4 cup soy sauce 1/4 cup brown sugar 2 tablespoons cornstarch 2 tablespoons vegetable oil Cooked rice for serving","[0, 0, 100, 20]",3,12,43,0,0.1035,0,0.020833333,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",1,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a bowl, toss pork cubes with cornstarch. Heat vegetable oil in a skillet over medium heat. Cook pork until browned and crispy, then set aside. In the same skillet, sauté diced onion and bell pepper until softened. Stir in pineapple chunks, ketchup, rice vinegar, soy sauce, and brown sugar. Return pork to the skillet and toss to coat in the sauce. Serve over cooked rice.","[0, 0, 100, 20]",3,12,66,0,0.155,0,0.106060606,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Tandoori Chicken,"[0, 0, 100, 20]",3,12,2,0,0.0075,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"4 boneless, skinless chicken thighs 1 cup yogurt 2 tablespoons lemon juice 2 cloves garlic, minced 1 teaspoon grated ginger 1 teaspoon cumin 1 teaspoon coriander 1 teaspoon turmeric 1 teaspoon paprika 1 teaspoon garam masala","[0, 0, 100, 20]",3,12,36,0,0.0945,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
