text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
THE CENTRE FOR HUMANITARIAN DATA,"[0, 0, 100, 20]",1,14.0,5,1,0.014,0.0,1.0,0,0,0,0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
GUIDANCE NOTE SERIES DATA RESPONSIBILITY IN HUMANITARIAN ACTION,"[0, 0, 100, 20]",1,12.0,8,1,0.028,0.0,1.0,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
RESPONSIBLE DATA SHARING WITH DONORS,"[0, 0, 100, 20]",1,19.0,5,1,0.016,0.0,1.0,0,0,0,0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
KEY TAKEAWAYS:,"[0, 0, 100, 20]",1,11.0,2,1,0.0065,0.0,1.0,1,0,0,0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Sharing sensitive personal and non-personal data without adequate safeguards can exacerbate risks for crisis-affected people, humanitarian organizations and donors.","[0, 0, 100, 20]",1,11.0,19,0,0.073,0.1052631578947368,0.0476190476190476,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Donors regularly request data from the organizations they fund in order to fulfil their obligations and objectives. Some of these requests relate to sensitive information and data which needs to be protected in order to mitigate risk.,"[0, 0, 100, 20]",1,11.0,37,0,0.099,0.2162162162162162,0.054054054054054,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Common objectives for data sharing with donors include: i situational awareness and programme design; ii accountability and transparency; and iii legal, regulatory, and policy requirements.","[0, 0, 100, 20]",1,11.0,25,0,0.0825,0.08,0.04,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Common constraints related to sharing data with donors include: i lack of regulatory framework for responsibly managing sensitive non-personal data; ii capacity gaps; and iii purpose limitation.,"[0, 0, 100, 20]",1,11.0,27,0,0.084,0.1851851851851851,0.0357142857142857,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Donors and humanitarian organizations can take the following steps to minimize risks while maximizing benefits when sharing sensitive data: i reviewing and clarifying the formal or informal frameworks that govern the collection and sharing of disaggregated data; ii formalizing and standardising requests for sensitive data; iii investing in data management capacities of staff and organisations; and iv adopting common principles for donor data management.,"[0, 0, 100, 20]",1,11.0,64,0,0.197,0.171875,0.015625,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
INTRODUCTION,"[0, 0, 100, 20]",1,11.0,1,1,0.006,0.0,1.0,0,0,0,0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Donors have an important role in the humanitarian data ecosystem, both as drivers of increased data collection and analysis, and as direct users of data. This is not a new phenomenon; the need for accountability and transparency in the use of donor funding is broadly understood and respected. However, in recent years, donors have begun requesting data that can be sensitive. This includes personal data about beneficiaries and various forms of disaggregated data, such as household-level survey results and data about the delivery of assistance disaggregated by demographic and/or group dimensions e.g. ethnicity, protection group, etc.. 1","[0, 0, 100, 20]",1,11.0,97,0,0.2725,0.1237113402061855,0.04,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Concerns around requests for such data have led donors and humanitarian organizations to place more emphasis on identifying strategies for data responsibility: the safe, ethical and effective management of data. Data responsibility requires donors and humanitarian organizations to take actions that help minimize risks while maximizing benefits of data. This is particularly challenging in cases where donors request sensitive data. For example, the screening of aid recipients, which is often used to justify requests for personal data, is not only difficult to practically implement, but also highly problematic in terms of principled aid. 2","[0, 0, 100, 20]",1,11.0,94,0,0.2755,0.1808510638297872,0.0425531914893617,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"1 Because there are well-established and accepted standards and mechanisms for sharing financial information with donors, including a role for external audits, requests for financial data are not included in this guidance note. This guidance note deals with sensitive personal and non-personal data.","[0, 0, 100, 20]",1,6.01,43,0,0.1285,0.1162790697674418,0.0444444444444444,0,0,-20,0,1,0,2.9800000000000004,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"2 Roepstorff, K., Faltas, C. and Hövelmann, S., 2020. Counterterrorism Measures and Sanction Regimes: Shrinking Space for Humanitarian Aidhttps://www.chaberlin.org/en/publications/counterterrorism-measures-and-sanction-regimes-shrinking-space-for-humanitarian-aid-organisations/ THE CENTRE FOR HUMANITARIAN DATAhttps://centre.humdata.org/ DECEMBER 2020 1","[0, 0, 100, 20]",1,6.26,27,0,0.164,0.0344827586206896,0.4347826086956521,0,0,-20,0,1,0,3.4800000000000004,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"In addition, sharing seemingly innocuous data such as aggregated survey results can place already vulnerable people and communities at greater risk. What may be initially considered non-personal data 3 can allow for re-identification of individuals, communities and demographic groups. Re-identification occurs when data can be traced back or linked to an individuals or groups of individuals because it is not adequately anonymized. This can result in a violation of data protection, privacy and other human rights and can allow for targeting of individuals or groups with violence or other forms of harm. 4","[0, 0, 100, 20]",2,11.0,93,0,0.258,0.1397849462365591,0.0416666666666666,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Many donors and humanitarian actors recognize the risks and benefits associated with sharing such sensitive data, but the sector has yet to establish a common understanding of how to balance these risks and benefits effectively. Recent efforts to address this issue have led to more clarity on current practices, as well as on the objectives and constraints of data sharing. In September 2020, the Government of Switzerland, the International Committee of the Red Cross ICRC and the United Nations Office for Coordination of Humanitarian Affairs UN OCHA Centre for Humanitarian Data the Centre organized a virtual Wilton Park dialogue to help build common understanding on this issue. 5","[0, 0, 100, 20]",2,11.0,108,0,0.2895,0.1296296296296296,0.2314814814814814,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
This guidance note synthesizes the outcomes of this dialogue and a related desk review. 6 It describes the challenges around sharing sensitive data with donors and offers initial recommendations for how donors and humanitarian organizations can more effectively navigate this area.,"[0, 0, 100, 20]",2,11.0,41,0,0.1205,0.1219512195121951,0.048780487804878,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
DONOR REQUESTS FOR DATA,"[0, 0, 100, 20]",2,11.0,4,1,0.01,0.0,1.0,0,0,0,0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Donors regularly request data from their partners in order to fulfil different obligations and objectives. These requests can be either formal or informal.,"[0, 0, 100, 20]",2,11.0,23,0,0.0665,0.1304347826086956,0.0869565217391304,0,0,-20,0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
