"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"DS-63'","12-2005'","-39.75","0","8.0","8.0","1","0","0","1","0","0","0","0","0","1",""
"12-2005'","Instruction Page 1 of 1'","-28.0","43","8.0","8.0","1","0","0","0","0","1","0","0","0","1",""
"Instruction Page 1 of 1'","U.S. Department of State'","-33.67","15","8.0","10.0","1","0","0","0","1","0","0","0","0","1",""
"U.S. Department of State'","Office of Allowances'","-10.42","-16","10.0","10.0","0","0","0","0","0","1","0","0","0","1",""
"Office of Allowances'","Col1EDUCATION ALLOWANCE QUESTIONNAIRECol3Col4Col5Col6Col7Col8Col9Col10'","-23.42","-36","10.0","12.0","0","0","0","0","1","1","0","1","0","0",""
"1.PostPostPostPostPostPostPostPostPost'","2.CountryCountryCountryCountryCountryCountryCountryCountryCountry'","-12.0","94","8.0","8.0","1","0","0","0","0","1","1","1","1","0",""
"2.CountryCountryCountryCountryCountryCountryCountryCountryCountry'","3.School NameSchool NameSchool NameSchool NameSchool NameSchool NameSchool NameSchool NameSchool Name'","-11.62","-94","8.0","8.0","1","0","0","0","1","0","1","1","1","0",""
"3.School NameSchool NameSchool NameSchool NameSchool NameSchool NameSchool NameSchool NameSchool Name'","4. School Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. Boxes'","-12.0","94","8.0","8.0","1","0","0","0","0","1","1","1","1","0",""
"4. School Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. BoxesSchool Location Street Address City Province/State Country Do not use P.O. Boxes'","5.Type of School~~:~~ Check all that applyType of School~~:~~ Check all that applyOperated by DoD CoedOperated by DoD CoedBoys Only Girls Only Religious-Affiliated With Mandatory Religious InstructionBoys Only Girls Only Religious-Affiliated With Mandatory Religious InstructionBoys Only Girls Only Religious-Affiliated With Mandatory Religious Instruction'","0.62","40","8.0","8.0","1","0","0","0","1","0","1","1","1","0",""
"5.Type of School~~:~~ Check all that applyType of School~~:~~ Check all that applyOperated by DoD CoedOperated by DoD CoedBoys Only Girls Only Religious-Affiliated With Mandatory Religious InstructionBoys Only Girls Only Religious-Affiliated With Mandatory Religious InstructionBoys Only Girls Only Religious-Affiliated With Mandatory Religious Instruction'","5.Type of School~~:~~ Check all that applyType of School~~:~~ Check all that apply'","-9.38","-134","8.0","8.0","0","0","0","0","0","0","1","1","1","0",""
"5.Type of School~~:~~ Check all that applyType of School~~:~~ Check all that apply'","6.Language of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taught'","0.12","1","8.0","8.0","1","0","0","1","0","0","1","1","1","0",""
"6.Language of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taughtLanguage of Instruction If bilingual, specify the language in which the majority of classes are taught'","7.Date Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendar'","1.0","-1","8.0","8.0","0","0","0","1","0","0","1","1","1","0",""
"7.Date Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendarDate Current School Year Begins Date Current School Year Ends Number of School Days  mm-dd-yyyy  mm-dd-yyyy Include the school calendar'","8.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.'","5.25","0","8.0","8.0","1","0","0","1","0","1","1","1","1","0",""
