"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"BIRTH AFFIDAVIT Use black ink only. If you make an error, complete a new form. Do not correct. Expiration Date: 10- Estimated Burden: 4Col2Col3Col4-31-2027 40 Minutes RESET'","Use black ink only. If you make an error, complete a new form. Do not correct.Use black ink only. If you make an error, complete a new form. Do not correct.Use black ink only. If you make an error, complete a new form. Do not correct.Use black ink only. If you make an error, complete a new form. Do not correct.RESET'","-1.33","0","8.0","7.0","0","0","0","1","0","0","1","1","1","0",""
"Use black ink only. If you make an error, complete a new form. Do not correct.Use black ink only. If you make an error, complete a new form. Do not correct.Use black ink only. If you make an error, complete a new form. Do not correct.Use black ink only. If you make an error, complete a new form. Do not correct.RESET'","1. Name of Passport Applicant1. Name of Passport Applicant1. Name of Passport Applicant1. Name of Passport Applicant1. Name of Passport Applicant'","0.56","-125","7.0","10.0","0","0","0","0","0","0","1","1","1","0",""
"1. Name of Passport Applicant1. Name of Passport Applicant1. Name of Passport Applicant1. Name of Passport Applicant1. Name of Passport Applicant'","Last Suffix Jr.,Sr.,IIILast Suffix Jr.,Sr.,IIILast Suffix Jr.,Sr.,IIILast Suffix Jr.,Sr.,IIILast Suffix Jr.,Sr.,III'","1.0","323","10.0","8.0","0","0","0","0","0","0","1","1","1","0",""
"Last Suffix Jr.,Sr.,IIILast Suffix Jr.,Sr.,IIILast Suffix Jr.,Sr.,IIILast Suffix Jr.,Sr.,IIILast Suffix Jr.,Sr.,III'","First MiddleFirst MiddleFirst MiddleFirst MiddleFirst Middle'","1.11","-16","8.0","10.0","1","0","0","0","0","0","1","1","1","0",""
"First MiddleFirst MiddleFirst MiddleFirst MiddleFirst Middle'","2. Passport Applicant's Date of Birth3. Passport Applicant's Place of Birth City and State3. Passport Applicant's Place of Birth City and State3. Passport Applicant's Place of Birth City and State3. Passport Applicant's Place of Birth City and State'","0.56","-307","10.0","10.0","0","0","0","0","0","0","1","1","1","0",""
"2. Passport Applicant's Date of Birth3. Passport Applicant's Place of Birth City and State3. Passport Applicant's Place of Birth City and State3. Passport Applicant's Place of Birth City and State3. Passport Applicant's Place of Birth City and State'","4. Passport Applicant's Current Home Address4. Passport Applicant's Current Home Address4. Passport Applicant's Current Home Address4. Passport Applicant's Current Home Address4. Passport Applicant's Current Home Address'","3.0","0","10.0","10.0","1","0","0","1","0","0","1","1","1","0",""
"4. Passport Applicant's Current Home Address4. Passport Applicant's Current Home Address4. Passport Applicant's Current Home Address4. Passport Applicant's Current Home Address4. Passport Applicant's Current Home Address'","StreetStreetStreetApartment/UnitApartment/Unit'","0.56","-1","10.0","10.0","0","0","0","1","0","0","1","1","1","0",""
"StreetStreetStreetApartment/UnitApartment/Unit'","CityCityState/CountryZip/Postal CodeZip/Postal Code'","-4.56","0","10.0","10.0","1","0","0","1","0","0","1","1","1","0",""
"CityCityState/CountryZip/Postal CodeZip/Postal Code'","5. How many years have you the affiant known the passport applicant?6. How do you the affiant know the passport applicant? e.g., Older Sibling, Parent, or Physician6. How do you the affiant know the passport applicant? e.g., Older Sibling, Parent, or Physician6. How do you the affiant know the passport applicant? e.g., Older Sibling, Parent, or Physician6. How do you the affiant know the passport applicant? e.g., Older Sibling, Parent, or Physician'","0.67","1","10.0","10.0","0","0","0","1","0","0","1","1","1","0",""
"5. How many years have you the affiant known the passport applicant?6. How do you the affiant know the passport applicant? e.g., Older Sibling, Parent, or Physician6. How do you the affiant know the passport applicant? e.g., Older Sibling, Parent, or Physician6. How do you the affiant know the passport applicant? e.g., Older Sibling, Parent, or Physician6. How do you the affiant know the passport applicant? e.g., Older Sibling, Parent, or Physician'","~~7. Write everything you the affiant remember about the passport applicant’s birth in detail. Include the date/time/location of~~ the passport applicant’s birth, individuals present, and any other personal knowledge about the event and how you the affiant obtained knowledge of the event. List the names of the passport applicant’s birth parents and your the affiant’s relationship to the passport applicant and/or birth parents. Attach a separate piece of paper if more space is needed.~~7. Write everything you the affiant remember about the passport applicant’s birth in detail. Include the date/time/location of~~ the passport applicant’s birth, individuals present, and any other personal knowledge about the event and how you the affiant obtained knowledge of the event. List the names of the passport applicant’s birth parents and your the affiant’s relationship to the passport applicant and/or birth parents. Attach a separate piece of paper if more space is needed.~~7. Write everything you the affiant remember about the passport applicant’s birth in detail. Include the date/time/location of~~ the passport applicant’s birth, individuals present, and any other personal knowledge about the event and how you the affiant obtained knowledge of the event. List the names of the passport applicant’s birth parents and your the affiant’s relationship to the passport applicant and/or birth parents. Attach a separate piece of paper if more space is needed.~~7. Write everything you the affiant remember about the passport applicant’s birth in detail. Include the date/time/location of~~ the passport applicant’s birth, individuals present, and any other personal knowledge about the event and how you the affiant obtained knowledge of the event. List the names of the passport applicant’s birth parents and your the affiant’s relationship to the passport applicant and/or birth parents. Attach a separate piece of paper if more space is needed.~~7. Write everything you the affiant remember about the passport applicant’s birth in detail. Include the date/time/location of~~ the passport applicant’s birth, individuals present, and any other personal knowledge about the event and how you the affiant obtained knowledge of the event. List the names of the passport applicant’s birth parents and your the affiant’s relationship to the passport applicant and/or birth parents. Attach a separate piece of paper if more space is needed.'","54.22","326","10.0","10.0","1","0","0","0","0","0","1","1","1","0",""
