"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"PURPOSE AND GENERAL RULES'","This user guide has been prepared in order to facilitate the work of applicants when completing the electronic'","-58.5","0","14.04","11.04","-3.0","0","0","0","1","1","1","0","0","0","1",""
"This user guide has been prepared in order to facilitate the work of applicants when completing the electronic'","application form as part of an application for a marketing authorisation / extension of a medicinal product for'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"application form as part of an application for a marketing authorisation / extension of a medicinal product for'","veterinary use.'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"veterinary use.'","How to fill in the electronic application form?'","-58.5","0","11.04","11.04","0.0","0","1","0","1","1","1","0","0","0","1",""
"How to fill in the electronic application form?'","The electronic application form has been prepared to be filled in by the applicant in case of an application made'","-58.5","0","11.04","11.04","0.0","0","1","0","1","1","1","0","0","0","1",""
"The electronic application form has been prepared to be filled in by the applicant in case of an application made'","either by national route or by mutual recognition, decentralised or centralised procedures.'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"either by national route or by mutual recognition, decentralised or centralised procedures.'","In the case of a mutual recognition or decentralised procedure an application form should be filled in for all'","-58.5","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"In the case of a mutual recognition or decentralised procedure an application form should be filled in for all'","competent authorities where the application is made.'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"competent authorities where the application is made.'","Since some information may differ between Member States e.g. name of the product, marketing authorisation'","-58.5","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"Since some information may differ between Member States e.g. name of the product, marketing authorisation'","holder MAH, legal status, contact persons etc…, the appropriate sections should be replicated where'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"holder MAH, legal status, contact persons etc…, the appropriate sections should be replicated where'","necessary. Fields can be duplicated by clicking on a boxed “+” symbol. For relevant sections, the applicant is'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"necessary. Fields can be duplicated by clicking on a boxed “+” symbol. For relevant sections, the applicant is'","requested to specify to which Member State the information relates.'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"requested to specify to which Member State the information relates.'","Where EEA is indicated in the application form, the applicant should understand EEA countries therefore'","-58.5","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"Where EEA is indicated in the application form, the applicant should understand EEA countries therefore'","including EU countries.'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"including EU countries.'","For national, mutual recognition and decentralised procedures, a completed separate application form is usually'","-58.5","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"For national, mutual recognition and decentralised procedures, a completed separate application form is usually'","required for each strength and pharmaceutical form. For centralised procedures a combined application form for'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"required for each strength and pharmaceutical form. For centralised procedures a combined application form for'","all strengths and pharmaceutical forms is recommended, the relevant sections should be replicated as necessary.'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"all strengths and pharmaceutical forms is recommended, the relevant sections should be replicated as necessary.'","Fields relevant for certain types of applications or related to legal basis do only appear after ticking the'","-58.5","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"Fields relevant for certain types of applications or related to legal basis do only appear after ticking the'","concerned box.'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"concerned box.'","Square boxes indicate that multiple choices are possible while round boxes indicate that one choice excludes'","-58.5","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"Square boxes indicate that multiple choices are possible while round boxes indicate that one choice excludes'","the other possibilities.'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"the other possibilities.'","Some fields have to be filled in by choosing a value from a drop-down list that is based on a controlled'","-58.5","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"Some fields have to be filled in by choosing a value from a drop-down list that is based on a controlled'","dictionary. Further information on the dictionaries used is provided in this document.'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"dictionary. Further information on the dictionaries used is provided in this document.'","The e-submissions website http://esubmission.ema.europa.eu/eaf/index.html provides further guidance on:http://esubmission.ema.europa.eu/eaf/index.html'","-58.5","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"The e-submissions website http://esubmission.ema.europa.eu/eaf/index.html provides further guidance on:http://esubmission.ema.europa.eu/eaf/index.html'","Technical aspects of the electronic application form, in particular the technical user guide and Questions &'","-58.5","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"Technical aspects of the electronic application form, in particular the technical user guide and Questions &'","Answers documents relating to practical and technical aspects of the electronic Application Forms;'","-58.5","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"Answers documents relating to practical and technical aspects of the electronic Application Forms;'","Information on the dictionaries, including instructions on requesting additional terms to some of the lists.'","-58.5","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"Information on the dictionaries, including instructions on requesting additional terms to some of the lists.'","Which language should be used?'","-58.5","0","11.04","11.04","0.0","0","1","0","1","1","1","0","0","0","1",""
"Which language should be used?'","English should be used for a centralised procedure.'","-58.5","0","11.04","11.04","0.0","0","1","0","1","1","1","0","0","0","1",""
"English should be used for a centralised procedure.'","English should be used for a mutual recognition or decentralised procedures, except in some'","-58.5","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"English should be used for a mutual recognition or decentralised procedures, except in some'","Member States where the national language should be used. - National language should be used preferably in'","-58.5","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"Member States where the national language should be used. - National language should be used preferably in'","the case of a national application, except if subsequent mutual recognition procedure is already considered and'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"the case of a national application, except if subsequent mutual recognition procedure is already considered and'","if the national competent authority where this application is made accepts English.'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"if the national competent authority where this application is made accepts English.'","Language requirements apply also to the annexes to the application form therefore, as applicable, translations'","-58.5","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"Language requirements apply also to the annexes to the application form therefore, as applicable, translations'","may have to be provided.'","-58.5","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"may have to be provided.'","Further guidance can be found in http://www.hma.eu/uploads/media/HRGUI-28Dossierlanguages.pdf.http://www.hma.eu/uploads/media/HRGUI-28Dossierlanguages.pdf'","-58.5","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"ADMINISTRATIVE DATA'","DECLARATION and SIGNATURE'","-55.75","0","14.04","11.04","-3.0","1","0","0","1","1","1","0","0","0","1",""
"DECLARATION and SIGNATURE'","In this declaration, data must be identical to the information provided in other sections, as well as in the'","-55.75","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"In this declaration, data must be identical to the information provided in other sections, as well as in the'","supportive documents provided e.g. annexes to the application form, proposed product information, other parts'","-55.75","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"supportive documents provided e.g. annexes to the application form, proposed product information, other parts'","of the dossier.'","-55.75","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"of the dossier.'","When this section is completed the data should be populated to corresponding fields in other sections of the'","-55.75","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"When this section is completed the data should be populated to corresponding fields in other sections of the'","application form by clicking on the respective push-button “Populate data in section 2.2.1. and 2.6.1.”'","-55.75","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"application form by clicking on the respective push-button “Populate data in section 2.2.1. and 2.6.1.”'","Product Invented name'","-55.75","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"Product Invented name'","In case of an application under the mutual recognition MRP or decentralised DCP procedure the product'","-55.75","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"In case of an application under the mutual recognition MRP or decentralised DCP procedure the product'","name used in the reference Member State should be listed. Please refer to the CMDv document “Clarificationhttp://www.hma.eu/fileadmin/migrated/contentuploads/100315NoteforpublicationonagreeingproductnameinDCP.pdf'","-55.75","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"name used in the reference Member State should be listed. Please refer to the CMDv document “Clarificationhttp://www.hma.eu/fileadmin/migrated/contentuploads/100315NoteforpublicationonagreeingproductnameinDCP.pdf'","Paper Agreeing Product Name During the Decentralised Procedure”. Here should be quoted only the producthttp://www.hma.eu/fileadmin/migrated/contentuploads/100315NoteforpublicationonagreeingproductnameinDCP.pdf'","-55.75","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"Paper Agreeing Product Name During the Decentralised Procedure”. Here should be quoted only the producthttp://www.hma.eu/fileadmin/migrated/contentuploads/100315NoteforpublicationonagreeingproductnameinDCP.pdf'","or invented name in the box and not the FULL name of the product. A list of the different proposed invented'","-55.75","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"or invented name in the box and not the FULL name of the product. A list of the different proposed invented'","names and marketing authorisation holders in the concerned Member States should be appended to the'","-55.75","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"names and marketing authorisation holders in the concerned Member States should be appended to the'","application form in annex 5.18.'","-55.75","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"application form in annex 5.18.'","For an application under the centralised procedure, the invented name should be agreed by CVMP prior'","-55.75","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"For an application under the centralised procedure, the invented name should be agreed by CVMP prior'","http://www.ema.europa.eu/ema/index.jsp?curl pages/regulation/landing/veterinarymedicinesregulatory.jsphttp://www.ema.europa.eu/ema/index.jsp?curl=pages/regulation/landing/veterinarymedicinesregulatory.jsp&mid='","-55.75","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"Pharmaceutical form'","applicant should be the same as the marketing authorisation holder MAH/applicant in the reference Member'","-40.58","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"1.1 This application concerns'","application for the marketing authorisation.'","-22.0","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"application for the marketing authorisation.'","The applicant should indicate the reference Member State, details of the marketing authorisation date of'","-22.0","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"The applicant should indicate the reference Member State, details of the marketing authorisation date of'","authorisation and marketing authorisation number, procedure number, and for each “wave” of mutual'","-22.0","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"Further information on previous applications should be provided in section 4 of the application.'","change in pharmacokinetics,'","-41.25","0","11.04","11.04","0.0","1","1","1","1","1","1","0","0","0","1",""
"change in pharmacokinetics,'","change or addition of a new route of administration'","-28.67","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"change or addition of a new route of administration'","2001/82/EC, according to which the application is made. Please refer to Notice to Applicants, Volume 6A,'","1.0","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"2001/82/EC, according to which the application is made. Please refer to Notice to Applicants, Volume 6A,'","Chapter 1 for further guidance.'","-11.58","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"Chapter 1 for further guidance.'","1.3.1 Article 123 application'","-53.17","14","11.04","12.0","0.96","0","1","0","0","1","1","0","0","0","1",""
"1.3.1 Article 123 application'","For applications made according to Article 123 of Directive 2001/82/EC, the applicant should indicate'","-3.5","0","12.0","11.04","-0.96","0","0","0","1","1","1","0","0","0","1",""
"For applications made according to Article 123 of Directive 2001/82/EC, the applicant should indicate'","1.3.2 Article 131 generic application'","38.08","-14","11.04","12.0","0.96","0","0","0","0","1","1","0","0","0","1",""
"1.3.2 Article 131 generic application'","“Veterinary medicinal product which is or has been authorised in accordance with Union provisions'","-49.83","35","12.0","11.04","-0.96","0","0","0","0","1","1","0","0","0","1",""
"“Veterinary medicinal product which is or has been authorised in accordance with Union provisions'","in force acquis communautaire for not less than 6/10years in the EEA” – a reference medicinal'","-8.83","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"in force acquis communautaire for not less than 6/10years in the EEA” – a reference medicinal'","product for which data protection has expired;'","-8.83","0","11.04","11.04","0.0","0","0","1","1","1","1","0","0","0","1",""
"product for which data protection has expired;'","“Veterinary medicinal product authorised in the Union/Member State where the application is made'","-8.83","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"“Veterinary medicinal product authorised in the Union/Member State where the application is made'","or European reference medicinal product” – a reference medicinal product with the same'","-8.83","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"or European reference medicinal product” – a reference medicinal product with the same'","generic product is based;'","-8.83","0","11.04","11.04","0.0","0","0","1","1","1","1","0","0","0","1",""
"generic product is based;'","“Veterinary medicinal product which is or has been authorised in accordance with Union provisions'","-0.25","-35","11.04","11.04","0.0","1","0","0","0","1","1","0","0","0","1",""
"“Veterinary medicinal product which is or has been authorised in accordance with Union provisions'","Reference product boxes can be replicated when information is different in the Member States.'","-28.67","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"Reference product boxes can be replicated when information is different in the Member States.'","The reference medicinal products listed above must belong to the same Global Marketing Authorisation,'","-28.67","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
