"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"Poster presentations ● Monday, 4 September & Thursday, 7 September 2017'","Posters'","-53.92","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"Posters'","Posters are to be displayed for the entire conference in the Poster Exhibition. Authors are kindly'","-53.92","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"Posters are to be displayed for the entire conference in the Poster Exhibition. Authors are kindly'","requested to set up their poster on the corresponding board with the supplied material on Monday,'","-53.92","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"requested to set up their poster on the corresponding board with the supplied material on Monday,'","4th September before 10:00. Poster boards have the same number as the titles in the Conference'","-53.92","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"4th September before 10:00. Poster boards have the same number as the titles in the Conference'","Programme.'","-53.92","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"Programme.'","The poster session for odd numbers, e.g. P1, P3, P5 etc. will be held on Monday, 4 th September from'","-53.92","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"The poster session for odd numbers, e.g. P1, P3, P5 etc. will be held on Monday, 4 th September from'","16:30 to 18:30.'","-53.92","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"16:30 to 18:30.'","The poster session for even numbers, e.g. P2, P4, P6 etc. will be held on Thursday, 7 th September'","-53.92","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"The poster session for even numbers, e.g. P2, P4, P6 etc. will be held on Thursday, 7 th September'","from 15:00 to 17:00.'","-53.92","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"from 15:00 to 17:00.'","Poster presenters are kindly requested to be present during their poster sessions.'","-53.92","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"Poster presenters are kindly requested to be present during their poster sessions.'","Poster boards are made from cork and their size is 980 mm x 1220 mm. The posters should not be'","-53.92","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"Poster boards are made from cork and their size is 980 mm x 1220 mm. The posters should not be'","laminated. Mounting materials will be provided on-site.'","-53.92","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"laminated. Mounting materials will be provided on-site.'","Best Poster Award'","-53.92","0","11.04","11.04","0.0","0","1","0","1","1","1","0","0","0","1",""
"Best Poster Award'","The Best Poster Award is sponsored by 55 th EHPRG Meeting Organizing Committee. The Award'","-53.92","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"The Best Poster Award is sponsored by 55 th EHPRG Meeting Organizing Committee. The Award'","presentation ceremony will be held during the Closing Ceremony. All Authors who would like to'","-53.92","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"presentation ceremony will be held during the Closing Ceremony. All Authors who would like to'","participate in the competition can get a sticker at the Registation Desk to mark their posters.'","-53.92","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"participate in the competition can get a sticker at the Registation Desk to mark their posters.'","S 1 – High-pressure chemistry'","-53.92","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"S 1 – High-pressure chemistry'","Modification of structure and physical properties of MgB 2 superconductor due to synthesis'","-53.92","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"Modification of structure and physical properties of MgB 2 superconductor due to synthesis'","under 1 GPa pressure'","-53.92","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"under 1 GPa pressure'","Tomasz Cetner Warsaw/Poland, Andrzej Morawski, Akiyasu Yamamoto, Ryszard Diduszko'","-53.92","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
