"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"The Effects of Interleaving Versus Blocking for'","Learning to Conjugate Verbs in the Spanish Language'","-4.39","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Learning to Conjugate Verbs in the Spanish Language'","Jon Student, Psychology 199, Spring and Fall 2016'","-4.39","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Jon Student, Psychology 199, Spring and Fall 2016'","PID# A1234567'","-4.39","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"PID# A1234567'","Thurgood Marshall College'","-4.39","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Thurgood Marshall College'","Faculty Advisor: Professor Timothy Rickard'","-4.39","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Faculty Advisor: Professor Timothy Rickard'","Faculty advisor signature Date'","1.0","0","0.0","1","0","0","1","0","1","0","0","0","1",""
"Running head: INTERLEAVING AND LANGUAGE LEARNING 1'","The Effects of Interleaving Versus Blocking for'","1.79","103","0.0","1","0","0","0","1","1","0","0","0","1",""
"The Effects of Interleaving Versus Blocking for'","Learning to Conjugate Verbs in the Spanish Language'","-4.35","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Learning to Conjugate Verbs in the Spanish Language'","Jon Student'","-4.35","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Jon Student'","Department of Psychology'","-4.35","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Department of Psychology'","Jon Student, Department of Psychology, University of California, San Diego.'","0.21","-103","0.0","1","0","0","0","1","1","0","0","0","1",""
"Jon Student, Department of Psychology, University of California, San Diego.'","This article was completed in fulfillment of the requirements for the author’s Bachelor of'","-2.53","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"This article was completed in fulfillment of the requirements for the author’s Bachelor of'","Science B.S. degree in Psychology at the University of California, San Diego. The author was'","-2.53","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Science B.S. degree in Psychology at the University of California, San Diego. The author was'","advised by Steven C. Pan and Professor Timothy C. Rickard.'","-2.53","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"advised by Steven C. Pan and Professor Timothy C. Rickard.'","Please address correspondence to: Jon Student, Department of Psychology, University of'","-2.53","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"Please address correspondence to: Jon Student, Department of Psychology, University of'","California, San Diego, La Jolla, CA 92093-0109. Email: jstudent@ucsd.edu'","-2.53","0","0.0","1","0","0","1","1","1","0","0","0","1",""
