"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"APPLICATION FOR ISSUE OF DUPLICATE PASS BOOK'","Sl.No.DescriptionTo be filled by depositor'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","0","1","0","0",""
"Sl.No.DescriptionTo be filled by depositor'","1Account Number and type of National Small Savings Scheme'","-61.83","0","11.04","11.04","0.0","0","0","0","1","1","1","1","1","1","0",""
"1Account Number and type of National Small Savings Scheme'","2Account Type Minor/Person of unsound mind, Single/ Joint A/C'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","1","1","1","0",""
"2Account Type Minor/Person of unsound mind, Single/ Joint A/C'","3Name of Post Office in which Account stands.'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","1","1","1","0",""
"3Name of Post Office in which Account stands.'","4If account stands at BO, Name of BO'","-61.83","0","11.04","11.04","0.0","1","1","0","1","1","1","1","1","1","0",""
"4If account stands at BO, Name of BO'","5Name of Account holders'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","1","1","1","0",""
"5Name of Account holders'","6Name of Husband/Father/Mother/Guardian'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","1","1","1","0",""
"6Name of Husband/Father/Mother/Guardian'","7Address of account holders at the time of opening of account.'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","1","1","1","0",""
"7Address of account holders at the time of opening of account.'","8Present address of account holders'","-61.83","0","11.04","11.04","0.0","1","1","0","1","1","1","1","1","1","0",""
"8Present address of account holders'","9Date of opening of account and office at which it was originally opened if different from col.3'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","1","1","1","0",""
"9Date of opening of account and office at which it was originally opened if different from col.3'","10Date and particulars of last transaction of account'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","1","1","1","0",""
"10Date and particulars of last transaction of account'","11Balance at credit after the last transaction'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","1","1","1","0",""
"11Balance at credit after the last transaction'","12Name of the PO from which the account was last transferred.'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","1","1","1","0",""
"12Name of the PO from which the account was last transferred.'","13Date and circumstances of loss of Pass Book and result of efforts made to traced it out.'","-61.83","0","11.04","11.04","0.0","1","1","0","1","1","1","1","1","1","0",""
"13Date and circumstances of loss of Pass Book and result of efforts made to traced it out.'","14Whether loss was reported to Police and if so with what result. Not mandatory'","-61.83","0","11.04","11.04","0.0","1","1","0","1","1","1","1","1","1","0",""
"14Whether loss was reported to Police and if so with what result. Not mandatory'","15Remarks if any.'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","1","1","1","0",""
"15Remarks if any.'","i Particulars given above are true to the best of my/our knowledge and duplicate pass'","-61.83","0","11.04","11.04","0.0","1","1","1","1","1","1","1","0","0","0",""
"i Particulars given above are true to the best of my/our knowledge and duplicate pass'","book may please be issued.'","-61.83","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"book may please be issued.'","ii I/we shall surrender this pass book in case of duplicate issued in lieu of torn and spoilt'","-61.83","0","11.04","11.04","0.0","1","1","1","1","1","1","0","0","0","1",""
"ii I/we shall surrender this pass book in case of duplicate issued in lieu of torn and spoilt'","one.'","-61.83","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"one.'","iii The prescribed fee of Rs. …………….. has been paid through receipt No……………..'","-61.83","0","11.04","11.04","0.0","1","1","1","1","1","1","0","0","0","1",""
"iii The prescribed fee of Rs. …………….. has been paid through receipt No……………..'","dated…………………. Please score out if exemption has been granted.'","-61.83","0","11.04","11.04","0.0","1","1","1","1","1","1","0","0","0","1",""
"dated…………………. Please score out if exemption has been granted.'","Note:- 1. Submit the self-attested copies of the KYC Documents.'","-61.83","0","11.04","11.04","0.0","0","1","0","1","1","1","0","0","0","1",""
"Note:- 1. Submit the self-attested copies of the KYC Documents.'","2. In case of Joint Account, signature/KYC of all Joint account holders required.'","-61.83","0","11.04","11.04","0.0","0","1","0","1","1","1","0","0","0","1",""
"2. In case of Joint Account, signature/KYC of all Joint account holders required.'","Signature/Thumb impression of account holders'","-61.83","0","11.04","11.04","0.0","0","1","0","1","1","1","0","0","0","1",""
"Signature/Thumb impression of account holders'","Particulars as given in the application have been verified with the records.'","-61.83","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
