"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"Overview Foundation Level Extensions'","Version 1.0'","-1.76","0","-12.0","0","0","0","1","0","0","0","0","0","1",""
"Version 1.0'","International Software Testing Qualifications Board'","0.59","-36","6.0","1","0","0","0","0","1","0","0","0","1",""
"International Software Testing Qualifications Board'","Copyright Notice'","1.41","-33","-8.04","1","0","0","0","1","1","0","0","0","1",""
"Copyright Notice'","This document may be copied in its entirety, or extracts made, if the source is acknowledged.'","-0.2","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"International'","Overview'","-58.58","0","2.04","1","0","0","1","1","1","0","0","0","1",""
"Overview'","Software Testing'","-58.58","0","-2.04","1","0","0","1","1","1","0","0","0","1",""
"Software Testing'","Foundation Level Extension – Agile Tester Qualifications Board'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level Extension – Agile Tester Qualifications Board'","Copyright © International Software Testing Qualifications Board hereinafter called ISTQB®.'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Copyright © International Software Testing Qualifications Board hereinafter called ISTQB®.'","Version 2014 Page 2 of 12 May 31, 2014'","-58.58","0","0.0","0","1","0","1","1","1","0","0","0","1",""
"Version 2014 Page 2 of 12 May 31, 2014'","© International Software Testing Qualifications Board'","-58.58","0","-3.96","0","0","0","1","1","1","0","0","0","1",""
"International'","Overview'","-58.58","0","2.04","1","0","0","1","1","1","0","0","0","1",""
"Overview'","Software Testing'","-58.58","0","-2.04","1","0","0","1","1","1","0","0","0","1",""
"Software Testing'","Foundation Level Extension – Agile Tester Qualifications Board'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level Extension – Agile Tester Qualifications Board'","Revision History'","-58.58","0","6.0","0","0","0","1","1","1","0","0","0","1",""
"Revision History'","VersionDateRemarks'","-58.58","0","-6.0","1","0","0","1","1","1","0","1","0","0",""
"VersionDateRemarks'","0.118 JUNE 2013Initial version'","-58.58","0","0.0","0","0","0","1","1","1","1","1","1","0",""
"0.118 JUNE 2013Initial version'","0.223 JULY 2013WG reviewed and confirmed'","-58.58","0","0.0","1","0","0","1","1","1","1","1","1","0",""
"0.223 JULY 2013WG reviewed and confirmed'","0.36 NOV 2013amended population and diagram'","-58.58","0","0.0","1","0","0","1","1","1","1","1","1","0",""
"0.36 NOV 2013amended population and diagram'","0.711 DEC 2013Amended Business Outcomes and Chapters matching'","-58.58","0","0.0","1","0","0","1","1","1","1","1","1","0",""
"0.711 DEC 2013Amended Business Outcomes and Chapters matching'","0.820 DEC 2013Working group updates on 0.7'","-58.58","0","0.0","1","0","0","1","1","1","1","1","1","0",""
"0.820 DEC 2013Working group updates on 0.7'","1.031 MAY 2014GA release for Agile Extension'","-58.58","0","0.0","1","0","0","1","1","1","1","1","1","0",""
"1.031 MAY 2014GA release for Agile Extension'","Version 2014 Page 3 of 12 May 31, 2014'","-58.58","0","0.0","0","0","0","1","1","1","1","0","0","0",""
"Version 2014 Page 3 of 12 May 31, 2014'","© International Software Testing Qualifications Board'","-58.58","0","-3.96","0","0","0","1","1","1","0","0","0","1",""
"International'","Overview'","-17.2","0","2.04","1","0","0","1","1","1","0","0","0","1",""
"Overview'","Software Testing'","-17.2","0","-2.04","1","0","0","1","1","1","0","0","0","1",""
"Software Testing'","Foundation Level Extension – Agile Tester Qualifications Board'","-17.2","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level Extension – Agile Tester Qualifications Board'","Table of Contents'","-17.2","0","6.0","0","0","0","1","1","1","0","0","0","1",""
"Table of Contents'","Revision History .......................................................................................................................................... 3'","3.4","0","-6.0","1","0","0","1","1","1","0","0","0","1",""
"Revision History .......................................................................................................................................... 3'","Table of Contents ........................................................................................................................................ 4'","1.2","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Table of Contents ........................................................................................................................................ 4'","1. Introduction to the Foundation Level Extensions ............................................................................ 6'","1.0","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"1. Introduction to the Foundation Level Extensions ............................................................................ 6'","2. Introduction to Foundation Level Agile Tester Extension ............................................................... 7'","1.2","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"2. Introduction to Foundation Level Agile Tester Extension ............................................................... 7'","2.1 Intended Audience ..................................................................................................................... 7'","1.0","10","0.0","0","0","0","0","1","1","0","0","0","1",""
"2.1 Intended Audience ..................................................................................................................... 7'","2.2 Career Paths for Testers ............................................................................................................ 7'","-14.0","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"2.2 Career Paths for Testers ............................................................................................................ 7'","2.3 Learning Objectives ................................................................................................................... 7'","-14.0","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"2.3 Learning Objectives ................................................................................................................... 7'","2.4 Entry Requirements ................................................................................................................... 8'","-14.0","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"2.4 Entry Requirements ................................................................................................................... 8'","2.5 Structure and Course Duration ................................................................................................... 8'","-14.0","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"2.5 Structure and Course Duration ................................................................................................... 8'","2.6 Keeping It Current ...................................................................................................................... 9'","-14.0","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"2.6 Keeping It Current ...................................................................................................................... 9'","3. Overview of the Foundation Level Extension – Agile Tester Syllabus......................................... 10'","0.8","-10","0.0","0","0","0","0","1","1","0","0","0","1",""
"3. Overview of the Foundation Level Extension – Agile Tester Syllabus......................................... 10'","3.1 Business Outcomes ................................................................................................................. 10'","1.0","10","0.0","0","0","0","0","1","1","0","0","0","1",""
"3.1 Business Outcomes ................................................................................................................. 10'","3.2 Content .................................................................................................................................... 10'","-4.6","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"3.2 Content .................................................................................................................................... 10'","4. References .......................................................................................................................................... 12'","1.2","-10","0.0","0","0","0","0","1","1","0","0","0","1",""
"4. References .......................................................................................................................................... 12'","4.1 Trademarks ............................................................................................................................. 12'","1.0","6","0.0","0","0","0","0","1","1","0","0","0","1",""
"4.1 Trademarks ............................................................................................................................. 12'","4.2 Documents and Web Sites ....................................................................................................... 12'","-78.2","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"4.2 Documents and Web Sites ....................................................................................................... 12'","Version 2014 Page 4 of 12 May 31, 2014'","-78.2","0","0.0","0","0","0","1","1","1","0","0","0","1",""
"Version 2014 Page 4 of 12 May 31, 2014'","© International Software Testing Qualifications Board'","-78.2","0","-3.96","0","0","0","1","1","1","0","0","0","1",""
"International'","Overview'","-58.58","0","2.04","1","0","0","1","1","1","0","0","0","1",""
"Overview'","Software Testing'","-58.58","0","-2.04","1","0","0","1","1","1","0","0","0","1",""
"Software Testing'","Foundation Level Extension – Agile Tester Qualifications Board'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level Extension – Agile Tester Qualifications Board'","Acknowledgements'","-58.58","0","6.0","1","0","0","1","1","1","0","0","0","1",""
"Acknowledgements'","This document was produced by a team from the International Software Testing Qualifications Board'","-58.58","0","-6.0","1","0","0","1","1","1","0","0","0","1",""
"This document was produced by a team from the International Software Testing Qualifications Board'","Foundation Level Working Group.'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level Working Group.'","The Agile Extension team thanks the review team and the National Boards for their suggestions and input.'","-58.58","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"The Agile Extension team thanks the review team and the National Boards for their suggestions and input.'","At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working'","-58.58","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working'","Group had the following membership: Rex Black Chair, Bertrand Cornanguer Vice Chair, Gerry'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Group had the following membership: Rex Black Chair, Bertrand Cornanguer Vice Chair, Gerry'","Coleman Learning Objectives Lead, Debra Friedenberg Exam Lead, Alon Linetzki Business Outcomes'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Coleman Learning Objectives Lead, Debra Friedenberg Exam Lead, Alon Linetzki Business Outcomes'","and Marketing Lead, Tauhida Parveen Editor, and Leo van der Aalst Development Lead.'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"and Marketing Lead, Tauhida Parveen Editor, and Leo van der Aalst Development Lead.'","Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon'","-58.58","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon'","Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.'","Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra'","-58.58","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra'","Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula'","Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,'","Robert Treffny, Chris Van Bael, and Erik van Veenendaal.'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.'","The team thanks also the following persons, from the National Boards and the Agile expert community,'","-58.58","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"The team thanks also the following persons, from the National Boards and the Agile expert community,'","who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani'","Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,'","Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill'","Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter'","Morgan, Ninna Morin, Ingvar Nordstrom, Chris O’Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung,'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Morgan, Ninna Morin, Ingvar Nordstrom, Chris O’Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung,'","Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik'","Sandberg, Dakar Shalom, Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Sandberg, Dakar Shalom, Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,'","Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
