text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
What’s the best way to create a PDF?,"[0, 0, 100, 20]",2,24.0,8,0,0.0145,0.3,0.2222222222222222,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,0,,Title
PDF creation methods by file type,"[0, 0, 100, 20]",2,16.02,6,0,0.014,0.0,0.1666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999999999883532,Title/Heading,1,,H1
Balance PDF file size and quality,"[0, 0, 100, 20]",5,16.02,6,0,0.014,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999459084,Title/Heading,1,,H2
Convert a file to PDF using Acrobat menu commands 1. Do any of the following:,"[0, 0, 100, 20]",7,17.01,15,0,0.0315,0.2666666666666666,0.2666666666666666,1,0,-20.0,0.0,1,0,10.02,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999990632376,Title/Heading,2,,H2
Convert a file to PDF using the Convert to PDF tool,"[0, 0, 100, 20]",9,16.02,11,0,0.0205,0.1818181818181818,0.3636363636363636,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999995146314,Title/Heading,3,,H2
Drag-and-drop to create PDFs,"[0, 0, 100, 20]",9,16.02,4,0,0.0125,0.25,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999951874,Title/Heading,4,,H2
Convert clipboard content to PDF,"[0, 0, 100, 20]",10,16.02,5,0,0.014,0.2,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999875058,Title/Heading,4,,H2
1. Capture content in the Clipboard:,"[0, 0, 100, 20]",10,12.0,6,0,0.0155,0.0,0.3333333333333333,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9958541546741704,Title/Heading,1,"{'type': 'numeric', 'depth': 1}",H1
Note:,"[0, 0, 100, 20]",8,12.0,1,0,0.0025,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9997055801122092,Title/Heading,5,,H2
Create a blank PDF,"[0, 0, 100, 20]",11,16.02,4,0,0.0075,0.25,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999861324,Title/Heading,4,,H2
Create multiple PDFs from multiple files,"[0, 0, 100, 20]",12,16.02,6,0,0.0175,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999994325656,Title/Heading,1,,H2
About Acrobat PDFMaker,"[0, 0, 100, 20]",12,16.02,3,0,0.01,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999830456,Title/Heading,5,,H2
Using Create PDF cloud service for PDF conversion,"[0, 0, 100, 20]",13,24.0,8,0,0.021,0.125,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,6,,H1
Convert a file to PDF using PDFMaker,"[0, 0, 100, 20]",14,24.0,7,0,0.015,0.2857142857142857,0.4285714285714285,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,0,,H1
Show or activate PDFMaker in Microsoft Office and Lotus Notes,"[0, 0, 100, 20]",14,16.02,10,0,0.026,0.1,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999996261092,Title/Heading,7,,H2
3. Do one of the following:,"[0, 0, 100, 20]",14,12.0,6,0,0.011,0.1666666666666666,0.1666666666666666,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9982672021345508,Title/Heading,8,"{'type': 'numeric', 'depth': 1}",H1
Convert a file to PDF,"[0, 0, 100, 20]",15,16.02,5,0,0.0085,0.4,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999920512,Title/Heading,9,,H2
Create a PDF and share the link for viewing or commenting,"[0, 0, 100, 20]",15,16.02,11,0,0.0235,0.2727272727272727,0.1818181818181818,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999994525852,Title/Heading,10,,H2
2. Do any of the following:,"[0, 0, 100, 20]",15,12.0,6,0,0.011,0.1666666666666666,0.1666666666666666,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9962764530786136,Title/Heading,8,"{'type': 'numeric', 'depth': 1}",H1
Create a PDF and share via Outlook,"[0, 0, 100, 20]",16,16.02,7,0,0.014,0.1428571428571428,0.4285714285714285,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999508218,Title/Heading,4,,H2
2. Do any of the following:,"[0, 0, 100, 20]",15,12.0,6,0,0.011,0.1666666666666666,0.1666666666666666,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9962764530786136,Title/Heading,8,"{'type': 'numeric', 'depth': 1}",H1
Create a PDF as an email attachment,"[0, 0, 100, 20]",18,16.02,7,0,0.0145,0.1428571428571428,0.2857142857142857,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999998919388,Title/Heading,4,,H2
"3. Specify the users that can open the PDF, and then click OK :","[0, 0, 100, 20]",18,12.0,14,0,0.025,0.1538461538461538,0.2307692307692307,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9849487977321568,Title/Heading,11,"{'type': 'numeric', 'depth': 1}",H1
Create a PDF and send it for review,"[0, 0, 100, 20]",19,16.02,8,0,0.014,0.25,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999998679904,Title/Heading,4,,H2
Create a PDF and run an action,"[0, 0, 100, 20]",19,16.02,7,0,0.012,0.2857142857142857,0.2857142857142857,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999385116,Title/Heading,4,,H2
View PDFMaker conversion settings,"[0, 0, 100, 20]",20,24.0,4,0,0.015,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,12,"{'type': 'roman', 'depth': 1}",H1
2. Do one of the following:,"[0, 0, 100, 20]",20,12.0,6,0,0.011,0.1666666666666666,0.1666666666666666,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9376170351961168,Title/Heading,8,"{'type': 'numeric', 'depth': 1}",H1
Settings tab of the Adobe PDFMaker preferences,"[0, 0, 100, 20]",20,16.02,7,0,0.02,0.0,0.4285714285714285,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999998990938,Title/Heading,1,,H2
Conversion Settings,"[0, 0, 100, 20]",20,12.0,2,0,0.009,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9983217747242158,Title/Heading,5,,H3
View Adobe PDF Result,"[0, 0, 100, 20]",20,12.0,4,0,0.009,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9911280132458242,Title/Heading,5,"{'type': 'roman', 'depth': 1}",H1
Prompt For Adobe PDF File Name,"[0, 0, 100, 20]",20,12.0,6,0,0.0125,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9750763601010694,Title/Heading,5,,H2
Convert Document Information,"[0, 0, 100, 20]",20,12.0,3,0,0.013,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9969465710937968,Title/Heading,5,,H3
Note:,"[0, 0, 100, 20]",8,12.0,1,0,0.0025,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9997055801122092,Title/Heading,5,,H3
PDF/A Compliance,"[0, 0, 100, 20]",21,12.0,2,0,0.0075,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9965007705063668,Title/Heading,5,,H3
Security tab of the Adobe PDFMaker preferences,"[0, 0, 100, 20]",21,16.02,7,0,0.02,0.0,0.4285714285714285,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999998990938,Title/Heading,1,,H2
Require A Password To Open The Document,"[0, 0, 100, 20]",21,12.0,7,0,0.0165,0.2857142857142857,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9923037396287634,Title/Heading,13,,H3
Restrict Editing And Printing Of The Document,"[0, 0, 100, 20]",21,12.0,7,0,0.0195,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9546052542666174,Title/Heading,5,,H3
Change Permissions Password,"[0, 0, 100, 20]",21,12.0,3,0,0.0125,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9970077819777794,Title/Heading,5,,H3
