text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,predicted_category,confidence_score,style_cluster_id,numbering_info,hierarchy_level
Parsippany -Troy Hills STEM Pathways,"[0, 0, 100, 20]",1,28.01,5,0,0.016,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,1.0,0,,Title
Mission Statement: To provide PTHSD high school students with the opportunity to,"[0, 0, 100, 20]",1,14.01,12,0,0.0345,0.0833333333333333,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999934174809092,1,,H1
"concentrate their studies, beyond those required in high school, in the areas of science,","[0, 0, 100, 20]",1,12.0,14,0,0.038,0.1428571428571428,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.6334154376075701,2,,H2
"technology, engineering, and mathematics, and expose students to relevant real world","[0, 0, 100, 20]",1,12.0,11,0,0.037,0.0909090909090909,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.676828524108051,3,,H2
"experiences through project work, conferences and presentations to enhance their high school","[0, 0, 100, 20]",1,12.0,12,0,0.0405,0.0833333333333333,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7720089752830823,3,,H2
experience.,"[0, 0, 100, 20]",1,12.0,1,0,0.0055,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9996941771003732,4,,H2
Goals:,"[0, 0, 100, 20]",1,14.01,1,0,0.003,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999987490792,5,,H1
"Inspire keen interest in mathematics, science, engineering, and","[0, 0, 100, 20]",1,11.51,8,0,0.028,0.0,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.6528964449394294,6,,H2
"technology, develop strong scholarship in the subject and","[0, 0, 100, 20]",1,11.51,8,0,0.025,0.125,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7438207935763135,7,,H2
promote the enjoyment of these studies in high school.,"[0, 0, 100, 20]",1,11.51,9,0,0.023,0.1111111111111111,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.6757812490052117,7,,H2
