text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
THE CENTRE FOR HUMANITARIAN DATA,"[0, 0, 100, 20]",1,14.0,5,1,0.014,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999995144,Title/Heading,0,,Title
GUIDANCE NOTE SERIES,"[0, 0, 100, 20]",1,12.0,3,1,0.009,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999824903176,Title/Heading,1,,H1
DATA RESPONSIBILITY IN HUMANITARIAN ACTION,"[0, 0, 100, 20]",1,12.0,5,1,0.019,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999369571532,Title/Heading,2,,H1
RESPONSIBLE DATA SHARING WITH DONORS,"[0, 0, 100, 20]",1,19.0,5,1,0.016,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,3,,H1
KEY TAKEAWAYS:,"[0, 0, 100, 20]",1,11.0,2,1,0.0065,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9999994278518566,Title/Heading,1,,H1
INTRODUCTION,"[0, 0, 100, 20]",1,11.0,1,1,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999989753782136,Title/Heading,1,"{'type': 'roman', 'depth': 1}",H1
DONOR REQUESTS FOR DATA,"[0, 0, 100, 20]",2,11.0,4,1,0.01,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999955225510108,Title/Heading,1,,H1
OBJECTIVES FOR DATA SHARING WITH DONORS,"[0, 0, 100, 20]",3,11.0,6,1,0.017,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999857289297872,Title/Heading,2,,H1
Situational awareness and programme design,"[0, 0, 100, 20]",3,11.0,5,0,0.019,0.0,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.7833474792385209,Title/Heading,4,,H1
Accountability and transparency,"[0, 0, 100, 20]",3,11.0,3,0,0.0145,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.8900494553682576,Title/Heading,5,,H1
"Legal, regulatory, and policy requirements","[0, 0, 100, 20]",3,11.0,5,0,0.019,0.0,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.5295239551490407,Title/Heading,4,,H1
CONSTRAINTS FOR DATA SHARING WITH DONORS,"[0, 0, 100, 20]",3,11.0,6,1,0.0175,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999854361010122,Title/Heading,2,,H1
Capacity gaps,"[0, 0, 100, 20]",3,11.0,2,0,0.006,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.961608797901358,Title/Heading,6,,H1
Purpose limitation,"[0, 0, 100, 20]",4,11.0,2,0,0.0085,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9576786698045804,Title/Heading,6,,H1
RECOMMENDATIONS,"[0, 0, 100, 20]",4,11.0,1,1,0.0075,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999989110014909,Title/Heading,1,,H1
