text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,predicted_category,confidence_score,style_cluster_id,numbering_info,hierarchy_level
Article,"[0, 0, 100, 20]",1,10.87,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9976894218225024,0,,Title
Direct observations of N 2 O 5 reactivity on ambient aerosol particles,"[0, 0, 100, 20]",1,13.95,12,0,0.0295,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9998922327517364,1,,H1
1. Introduction,"[0, 0, 100, 20]",1,11.0,2,0,0.007,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9984993415244672,0,"{'type': 'numeric', 'depth': 1}",H1
2. Experimental Design,"[0, 0, 100, 20]",1,11.0,3,0,0.01,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9921310813684956,0,"{'type': 'numeric', 'depth': 1}",H1
Chemical Composition,"[0, 0, 100, 20]",2,11.0,2,0,0.0095,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9977609547016344,0,,H2
models.,"[0, 0, 100, 20]",3,10.0,1,0,0.0035,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.622683113063563,2,,H2
4. Implications for NO x Processing Rates,"[0, 0, 100, 20]",3,11.0,7,0,0.0175,0.0,0.5714285714285714,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9775987577190476,3,"{'type': 'numeric', 'depth': 1}",H1
5. Conclusions,"[0, 0, 100, 20]",4,11.0,2,0,0.0065,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9985294705470694,0,"{'type': 'numeric', 'depth': 1}",H1
References,"[0, 0, 100, 20]",4,10.96,1,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9984994143072584,0,,H2
2005GL022469.,"[0, 0, 100, 20]",5,7.97,1,1,0.0065,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7249476150125175,4,"{'type': 'numeric', 'depth': 1}",H1
2003GL017168.,"[0, 0, 100, 20]",5,7.97,1,1,0.0065,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7249476150125175,4,"{'type': 'numeric', 'depth': 1}",H1
2002JD002436.,"[0, 0, 100, 20]",5,7.97,1,1,0.0065,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7249476150125175,4,"{'type': 'numeric', 'depth': 1}",H1
1998JD100022.,"[0, 0, 100, 20]",5,7.97,1,1,0.0065,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7249476150125175,4,"{'type': 'numeric', 'depth': 1}",H1
2007GL029979.,"[0, 0, 100, 20]",5,7.97,1,1,0.0065,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7249476150125175,4,"{'type': 'numeric', 'depth': 1}",H1
"WA 98195, USA.","[0, 0, 100, 20]",5,7.97,3,1,0.006,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7978579718523442,5,,H2
