text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
Peer Review Framework for Predictive Analytics in Humanitarian Response,"[0, 0, 100, 20]",1,18.0,9,0,0.0315,0.0,0.7777777777777778,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999999676825056,Title/Heading,0,,Title
MODEL REPORT:,"[0, 0, 100, 20]",1,26.0,2,1,0.006,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,1,,H1
Drought Anticipatory Action Trigger in Niger,"[0, 0, 100, 20]",1,28.0,6,0,0.0195,0.0,0.8333333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,2,,H1
"Anticipatory Action Working Group, Niger","[0, 0, 100, 20]",1,16.0,5,0,0.018,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999747969331568,Title/Heading,3,,H1
January 2023,"[0, 0, 100, 20]",1,18.0,2,0,0.0055,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999999965214206,Title/Heading,4,,H1
Model Report: Anticipatory Action Trigger for Drought in Niger,"[0, 0, 100, 20]",2,16.0,9,0,0.027,0.0,0.7777777777777778,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999508492,Title/Heading,0,,H1
1. Background,"[0, 0, 100, 20]",2,12.0,2,0,0.006,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999272152616956,Title/Heading,5,"{'type': 'numeric', 'depth': 1}",H1
2. Main Findings and Recommendations,"[0, 0, 100, 20]",2,12.0,5,0,0.016,0.0,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9994377429256258,Title/Heading,6,"{'type': 'numeric', 'depth': 1}",H1
2.1 Technical Review,"[0, 0, 100, 20]",3,12.0,3,0,0.009,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9997998607194865,Title/Heading,5,"{'type': 'numeric', 'depth': 2}",H2
Intended Use,"[0, 0, 100, 20]",3,12.0,2,0,0.0055,0.5,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999974340660563,Title/Heading,7,"{'type': 'roman', 'depth': 1}",H1
Model Development and Documentation,"[0, 0, 100, 20]",3,12.0,4,0,0.016,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999052227957836,Title/Heading,6,,H2
Model Evaluation,"[0, 0, 100, 20]",3,12.0,2,0,0.0075,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9998956514488516,Title/Heading,8,,H2
Operational Readiness,"[0, 0, 100, 20]",3,12.0,2,0,0.01,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9997513400659316,Title/Heading,8,,H2
2.2 Ethical Review,"[0, 0, 100, 20]",4,12.0,3,0,0.008,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9992064533523748,Title/Heading,5,"{'type': 'numeric', 'depth': 2}",H2
False negative activation non-activation in the presence of a shock,"[0, 0, 100, 20]",4,12.0,10,0,0.029,0.0,0.0909090909090909,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.8386542827528769,Title/Heading,9,,H2
False positive activation activation in the absence of a shock,"[0, 0, 100, 20]",4,12.0,10,0,0.0265,0.0,0.1,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9705463267729464,Title/Heading,9,,H2
Bias in available data,"[0, 0, 100, 20]",4,12.0,4,0,0.0095,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9974346106562668,Title/Heading,5,,H2
Feedback,"[0, 0, 100, 20]",5,12.0,1,0,0.004,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9997586378275822,Title/Heading,8,,H2
