text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,predicted_category,confidence_score,style_cluster_id,numbering_info,hierarchy_level
LQA - LIVING QUARTERS ALLOWANCE ANNUAL/INTERIM EXPENDITURES,"[0, 0, 100, 20]",1,12.0,7,1,0.0265,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.999999996325933,0,,Title
WORK SHEET DSSR 130,"[0, 0, 100, 20]",1,12.0,4,1,0.008,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.999999989833905,1,,H1
2. Agency,"[0, 0, 100, 20]",1,10.0,2,0,0.004,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7577019483343947,2,"{'type': 'numeric', 'depth': 1}",H1
4. Date ofmm-dd-yyyy,"[0, 0, 100, 20]",1,10.0,3,0,0.009,0.0,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7605335145756793,3,"{'type': 'numeric', 'depth': 1}",H1
7. Family Domiciled at Post,"[0, 0, 100, 20]",1,10.0,5,0,0.0115,0.2,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.5479777854410481,4,"{'type': 'numeric', 'depth': 1}",H1
Member,"[0, 0, 100, 20]",1,10.0,1,0,0.003,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7889870969650408,5,,H2
Post,"[0, 0, 100, 20]",1,10.0,1,0,0.002,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7956709450965797,5,,H2
Relationship,"[0, 0, 100, 20]",1,10.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7679836705271282,5,,H2
DOB Except,"[0, 0, 100, 20]",1,10.0,2,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.505728787352117,5,,H2
Partner,"[0, 0, 100, 20]",1,10.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7855856314137989,5,,H2
Support,"[0, 0, 100, 20]",1,10.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7855856314137989,5,,H2
8. Family Domiciled Away From Post,"[0, 0, 100, 20]",1,10.0,6,0,0.0145,0.1666666666666666,0.8333333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.5549278829571203,6,"{'type': 'numeric', 'depth': 1}",H1
Residence,"[0, 0, 100, 20]",1,10.0,1,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7786636515143596,5,,H2
Address,"[0, 0, 100, 20]",1,10.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7855856314137989,5,,H2
Residence,"[0, 0, 100, 20]",1,10.0,1,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7786636515143596,5,,H2
Address,"[0, 0, 100, 20]",1,10.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7855856314137989,5,,H2
Member,"[0, 0, 100, 20]",1,10.0,1,0,0.003,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7889870969650408,5,,H2
Post,"[0, 0, 100, 20]",1,10.0,1,0,0.002,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7956709450965797,5,,H2
Relationship,"[0, 0, 100, 20]",1,10.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7679836705271282,5,,H2
DOB Except,"[0, 0, 100, 20]",1,10.0,2,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.505728787352117,5,,H2
Partner,"[0, 0, 100, 20]",1,10.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7855856314137989,5,,H2
Support,"[0, 0, 100, 20]",1,10.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7855856314137989,5,,H2
Apartment,"[0, 0, 100, 20]",2,10.0,1,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7786636515143596,5,,H2
bathrooms.,"[0, 0, 100, 20]",2,10.0,1,0,0.005,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.6082631709449721,7,,H2
Furnished,"[0, 0, 100, 20]",2,10.0,1,0,0.0045,1.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999856187562944,8,,H2
Privately Leased,"[0, 0, 100, 20]",2,10.0,2,0,0.0075,0.5,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9882073030765336,9,,H2
Personally Owned,"[0, 0, 100, 20]",2,10.0,2,0,0.0075,0.5,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9882073030765336,9,,H2
Unfurnished,"[0, 0, 100, 20]",2,10.0,1,0,0.0055,1.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999850225226382,8,,H2
Government Owned or Leased,"[0, 0, 100, 20]",2,10.0,4,0,0.0115,0.5,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.8761136887088141,10,,H2
agency.,"[0, 0, 100, 20]",2,10.0,1,0,0.0035,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.622683113063563,7,,H2
15. FOR OFFICIAL USE ONLY,"[0, 0, 100, 20]",3,10.0,5,1,0.0105,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999225273431942,11,"{'type': 'numeric', 'depth': 1}",H1
Estimated or,"[0, 0, 100, 20]",3,10.0,2,0,0.0055,0.5,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9761560523118192,12,,H2
to POQ,"[0, 0, 100, 20]",3,10.0,2,0,0.0025,0.5,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9788339184753548,12,,H2
