text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
Ontario’s Libraries Working Together,"[0, 0, 100, 20]",1,15.96,4,0,0.0165,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999506619200358,Title/Heading,0,,Title
RFP: Request for Proposal,"[0, 0, 100, 20]",1,32.04,4,0,0.011,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,1,,H1
To Present a Proposal for Developing the Business Plan for the Ontario Digital Library,"[0, 0, 100, 20]",1,24.0,14,0,0.0365,0.1428571428571428,0.6428571428571429,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999999988,Title/Heading,2,,H1
"March 21, 2003","[0, 0, 100, 20]",1,20.04,3,0,0.006,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999970900542,Title/Heading,3,,H1
Ontario’s Digital Library,"[0, 0, 100, 20]",2,20.04,3,0,0.0115,0.2,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,4,,H1
A Critical Component for Implementing Ontario’s Road Map to Prosperity Strategy,"[0, 0, 100, 20]",2,15.96,11,0,0.0345,0.0769230769230769,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999999999743906,Title/Heading,5,,H1
Summary,"[0, 0, 100, 20]",2,12.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999063413582858,Title/Heading,6,,H2
Timeline:,"[0, 0, 100, 20]",2,11.04,1,0,0.0045,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9965183953787556,Title/Heading,6,,H3
Background,"[0, 0, 100, 20]",3,12.0,1,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999314891234043,Title/Heading,6,,H2
Equitable access for all Ontarians:,"[0, 0, 100, 20]",4,11.04,5,0,0.0155,0.0,0.4,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.7867326091019592,Title/Heading,6,,H3
Shared decision-making and accountability:,"[0, 0, 100, 20]",4,11.04,4,0,0.0195,0.25,0.2,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9877397405444632,Title/Heading,7,,H3
Shared governance structure:,"[0, 0, 100, 20]",4,11.04,3,0,0.013,0.3333333333333333,0.3333333333333333,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9956354274922438,Title/Heading,8,,H3
Shared funding:,"[0, 0, 100, 20]",4,11.04,2,0,0.007,0.5,0.5,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9998353364116012,Title/Heading,9,,H3
