text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
Edit text in a PDF,Edit text in a PDF,"Open the PDF you want to edit in Acrobat, and then select Edit in the global bar.","Open the PDF you want to edit in Acrobat, and then select Edit in the global bar.",0.02,0.0,1,0,0,24.0,12.0,-12.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,2,
"Open the PDF you want to edit in Acrobat, and then select Edit in the global bar.","Open the PDF you want to edit in Acrobat, and then select Edit in the global bar.","The PDF switches to the edit mode, and the Edit panel displays. If the PDF is generated from a","The PDF switches to the edit mode, and the Edit panel displays. If the PDF is generated from a",22.79,-0.0,1,0,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,
"The PDF switches to the edit mode, and the Edit panel displays. If the PDF is generated from a","The PDF switches to the edit mode, and the Edit panel displays. If the PDF is generated from a","scanned document, Acrobat automatically runs OCR to make the text and images editable.","scanned document, Acrobat automatically runs OCR to make the text and images editable.",1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,
"scanned document, Acrobat automatically runs OCR to make the text and images editable.","scanned document, Acrobat automatically runs OCR to make the text and images editable.","The Edit panel includes options to modify the page, add content, redact a PDF, and convert","The Edit panel includes options to modify the page, add content, redact a PDF, and convert",42.86,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,
"The Edit panel includes options to modify the page, add content, redact a PDF, and convert","The Edit panel includes options to modify the page, add content, redact a PDF, and convert","various documents to PDF forms. You can use the options in the Edit panel to replace, edit, or","various documents to PDF forms. You can use the options in the Edit panel to replace, edit, or",1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,
"various documents to PDF forms. You can use the options in the Edit panel to replace, edit, or","various documents to PDF forms. You can use the options in the Edit panel to replace, edit, or","add text to a PDF. You can correct typos, change fonts and typeface size, adjust alignment,","add text to a PDF. You can correct typos, change fonts and typeface size, adjust alignment,",1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,
"add text to a PDF. You can correct typos, change fonts and typeface size, adjust alignment,","add text to a PDF. You can correct typos, change fonts and typeface size, adjust alignment,","add superscripts or subscripts, and resize text or paragraphs.","add superscripts or subscripts, and resize text or paragraphs.",1.0,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,
Set the default font for adding and editing text,Set the default font for adding and editing text,"When you add text in a PDF, by default Acrobat chooses nearby font attributes for the new","When you add text in a PDF, by default Acrobat chooses nearby font attributes for the new",1.32,0.0,1,0,1,16.02,12.0,-4.02,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,3,3,
"When you add text in a PDF, by default Acrobat chooses nearby font attributes for the new","When you add text in a PDF, by default Acrobat chooses nearby font attributes for the new","text. When you edit text, any font that isn't available on the system is substituted by a default","text. When you edit text, any font that isn't available on the system is substituted by a default",0.99,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,
"text. When you edit text, any font that isn't available on the system is substituted by a default","text. When you edit text, any font that isn't available on the system is substituted by a default","fall-back font for the particular script. For example, Minion Pro is the default fall-back font for","fall-back font for the particular script. For example, Minion Pro is the default fall-back font for",1.01,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,
"fall-back font for the particular script. For example, Minion Pro is the default fall-back font for","fall-back font for the particular script. For example, Minion Pro is the default fall-back font for",Roman script fonts. The substitution of unavailable fonts by default fonts can introduce,Roman script fonts. The substitution of unavailable fonts by default fonts can introduce,1.0,0.0,1,0,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,3,3,
Roman script fonts. The substitution of unavailable fonts by default fonts can introduce,Roman script fonts. The substitution of unavailable fonts by default fonts can introduce,"inconsistency in the look and feel of text in a PDF document. To avoid inconsistency, choose a","inconsistency in the look and feel of text in a PDF document. To avoid inconsistency, choose a",0.99,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,
"inconsistency in the look and feel of text in a PDF document. To avoid inconsistency, choose a","inconsistency in the look and feel of text in a PDF document. To avoid inconsistency, choose a",specific font for any text that is added or modified in the PDF document from Font,specific font for any text that is added or modified in the PDF document from Font,0.99,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,
specific font for any text that is added or modified in the PDF document from Font,specific font for any text that is added or modified in the PDF document from Font,Options under Content Editing.,Options under Content Editing.,0.99,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,3,3,
Options under Content Editing.,Options under Content Editing.,"1. From the hamburger menu Windows or the Acrobat menu macOS,","(Windows) or the Acrobat menu (macOS),",4.0,186.96,0,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,3,3,
"1. From the hamburger menu Windows or the Acrobat menu macOS,","(Windows) or the Acrobat menu (macOS),",choose Preferences . The Preferences dialog box is displayed.,choose Preferences. The Preferences dialog box is displayed.,1.01,-150.96,0,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,
choose Preferences . The Preferences dialog box is displayed.,choose Preferences. The Preferences dialog box is displayed.,"Alternatively, you can press Ctrl+K keys on Windows® or Command+K keys on","(Alternatively, you can press Ctrl+K keys on Windows® or Command+K keys on",1.01,0.0,1,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,3,3,
"Alternatively, you can press Ctrl+K keys on Windows® or Command+K keys on","(Alternatively, you can press Ctrl+K keys on Windows® or Command+K keys on",macOS.,macOS.),1.0,0.0,1,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,
macOS.,macOS.),"2. In the dialog box, select Content Editing under Categories to display Font Options.","2. In the dialog box, select Content Editing under Categories to display Font Options.",1.01,-18.0,0,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,3,3,
"2. In the dialog box, select Content Editing under Categories to display Font Options.","2. In the dialog box, select Content Editing under Categories to display Font Options.",3. Select an appropriate font in the drop-down lists:,3. Select an appropriate font in the drop-down lists:,24.23,0.0,1,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,3,3,
