text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
Saudi Journal of Biological Sciences 28 2021 1167–1176https://doi.org/10.1016/j.sjbs.2020.11.053,Saudi Journal of Biological Sciences 28 (2021) 1167–1176,Contents lists available at ScienceDirecthttp://www.sciencedirect.com/science/journal/1319562X,Contents lists available at ScienceDirect,8.3,13.89,0,1,1,6.46,7.97,1.51,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Contents lists available at ScienceDirecthttp://www.sciencedirect.com/science/journal/1319562X,Contents lists available at ScienceDirect,Saudi Journal of Biological Sciences,Saudi Journal of Biological Sciences,6.52,-43.48,0,1,1,7.97,14.22,6.25,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0
Saudi Journal of Biological Sciences,Saudi Journal of Biological Sciences,journal homepage: www.sciencedirect.comhttp://www.sciencedirect.com,journal homepage: www.sciencedirect.com,7.71,18.65,0,1,1,14.22,8.08,-6.15,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0
journal homepage: www.sciencedirect.comhttp://www.sciencedirect.com,journal homepage: www.sciencedirect.com,Review,Review,9.19,-161.06,0,1,0,8.08,9.56,1.49,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Review,Review,Honeybee nutrition and pollen substitutes: A review,Honeybee nutrition and pollen substitutes: A review,3.87,0,1,0,0,9.56,13.45,3.89,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0
Honeybee nutrition and pollen substitutes: A review,Honeybee nutrition and pollen substitutes: A review,"Bilal Ahamad Paray a, Indu Kumari b, Younis Ahmad Hajam c, Bharti Sharma c, Rajesh Kumar c, ⇑,","Bilal Ahamad Paray a, Indu Kumari b, Younis Ahmad Hajam c, Bharti Sharma c, Rajesh Kumar c,⇑,",4.68,0,1,0,0,13.45,10.56,-2.89,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
"Bilal Ahamad Paray a, Indu Kumari b, Younis Ahmad Hajam c, Bharti Sharma c, Rajesh Kumar c, ⇑,","Bilal Ahamad Paray a, Indu Kumari b, Younis Ahmad Hajam c, Bharti Sharma c, Rajesh Kumar c,⇑,","Mohammed Fahad Albeshr a, Mohammad Abul Farah a, Javed Masood Khan d","Mohammed Fahad Albeshr a, Mohammad Abul Farah a, Javed Masood Khan d",1,-0.11,1,0,0,10.56,10.56,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Mohammed Fahad Albeshr a, Mohammad Abul Farah a, Javed Masood Khan d","Mohammed Fahad Albeshr a, Mohammad Abul Farah a, Javed Masood Khan d","a Department of Zoology, College of Science, King Saud University, PO Box 2455, Riyadh 11451, Saudi Arabia","a Department of Zoology, College of Science, King Saud University, PO Box 2455, Riyadh 11451, Saudi Arabia",2.75,0.06,1,0,0,10.56,4.51,-6.05,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0
"a Department of Zoology, College of Science, King Saud University, PO Box 2455, Riyadh 11451, Saudi Arabia","a Department of Zoology, College of Science, King Saud University, PO Box 2455, Riyadh 11451, Saudi Arabia","b Department of Life Science, School of Basic Sciences, Arni University, Kangra 176401, H.P., India","b Department of Life Science, School of Basic Sciences, Arni University, Kangra 176401, H.P., India",1.78,0,1,0,0,4.51,4.51,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"b Department of Life Science, School of Basic Sciences, Arni University, Kangra 176401, H.P., India","b Department of Life Science, School of Basic Sciences, Arni University, Kangra 176401, H.P., India","c Zoology Division, Career Point University, Hamirpur 176041, H.P., India","c Zoology Division, Career Point University, Hamirpur 176041, H.P., India",1.8,0,1,0,0,4.51,4.51,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
