text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
"unlike GraphDRP and XGDP, tCNN used 1D convolutional layers to encode the SMILES notation of drugs,","unlike GraphDRP and XGDP, tCNN used 1D convolutional layers to encode the SMILES notation of drugs,",which renders it infeasible to decode the developed models to investigate structural saliency of drugs upon,which renders it infeasible to decode the developed models to investigate structural saliency of drugs upon,-0.28,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
which renders it infeasible to decode the developed models to investigate structural saliency of drugs upon,which renders it infeasible to decode the developed models to investigate structural saliency of drugs upon,reaction with cancer cells.,reaction with cancer cells.,-0.28,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
reaction with cancer cells.,reaction with cancer cells.,Blind prediction of responses of unknown drugs,Blind prediction of responses of unknown drugs,0.93,0,1,0,1,9,10,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Blind prediction of responses of unknown drugs,Blind prediction of responses of unknown drugs,"In the blind test of response prediction of unknown drugs, we divide the dataset by constraining the existence of","In the blind test of response prediction of unknown drugs, we divide the dataset by constraining the existence of",-0.17,0,1,1,0,10,9,-1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"In the blind test of response prediction of unknown drugs, we divide the dataset by constraining the existence of","In the blind test of response prediction of unknown drugs, we divide the dataset by constraining the existence of","drugs exclusively in training, validation, or testing set. Specifically, out of 223 drugs in total, 167 drugs’ response","drugs exclusively in training, validation, or testing set. Specifically, out of 223 drugs in total, 167 drugs’ response",-0.28,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"drugs exclusively in training, validation, or testing set. Specifically, out of 223 drugs in total, 167 drugs’ response","drugs exclusively in training, validation, or testing set. Specifically, out of 223 drugs in total, 167 drugs’ response","data are used for a 3-fold cross-validation, and response data of 56 drugs are preserved for testing. The blind","data are used for a 3-fold cross-validation, and response data of 56 drugs are preserved for testing. The blind",-0.28,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"data are used for a 3-fold cross-validation, and response data of 56 drugs are preserved for testing. The blind","data are used for a 3-fold cross-validation, and response data of 56 drugs are preserved for testing. The blind",prediction task aims at testing whether the model developed on known drugs has the generalizability to predict,prediction task aims at testing whether the model developed on known drugs has the generalizability to predict,-0.28,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
prediction task aims at testing whether the model developed on known drugs has the generalizability to predict,prediction task aims at testing whether the model developed on known drugs has the generalizability to predict,responses of unknown drugs.,responses of unknown drugs.,-0.28,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
responses of unknown drugs.,responses of unknown drugs.,"In the blind test experiment, we compare our method with tCNN, GraphDRP and TGSA. DeepCDR is ignored","In the blind test experiment, we compare our method with tCNN, GraphDRP and TGSA. DeepCDR is ignored",-0.28,12,0,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"In the blind test experiment, we compare our method with tCNN, GraphDRP and TGSA. DeepCDR is ignored","In the blind test experiment, we compare our method with tCNN, GraphDRP and TGSA. DeepCDR is ignored",since the code to flexibly divide the dataset according to drug occurrence is not provided. As shown in Table,since the code to flexibly divide the dataset according to drug occurrence is not provided. As shown in Table,-0.28,-12,0,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
