text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
insects,insects,Article,Article,7.94,-39.06,0,0,0,25.2,9.96,-15.23,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
Article,Article,Comparative Study of the Effect of Pollen Substitute Diets on Honey Bees during Early Spring,Comparative Study of the Effect of Pollen Substitute Diets,0.88,0.36,1,0,1,9.96,17.93,7.97,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
Comparative Study of the Effect of Pollen Substitute Diets on Honey Bees during Early Spring,Comparative Study of the Effect of Pollen Substitute Diets,"Hyunjee Kim 1,† , Olga Frunze 1,† , Abdulkadir Yusif Maigoro 1 , Myeong-Lyeol Lee 1 , Jeong-Hyeon Lee 2",", Olga Frunze 1,†, Abdulkadir Yusif Maigoro 1",8.36,84.42,0,1,0,17.93,9.96,-7.97,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
"Hyunjee Kim 1,† , Olga Frunze 1,† , Abdulkadir Yusif Maigoro 1 , Myeong-Lyeol Lee 1 , Jeong-Hyeon Lee 2",", Olga Frunze 1,†, Abdulkadir Yusif Maigoro 1","and Hyung-Wook Kwon 1,2, *****","and Hyung-Wook Kwon 1,2,*",0.71,-84.42,0,0,0,9.96,9.96,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"and Hyung-Wook Kwon 1,2, *****","and Hyung-Wook Kwon 1,2,*","1 Convergence Research Center for Insect Vectors, Incheon National University,","Convergence Research Center for Insect Vectors, Incheon National University,",5.7,144.13,0,0,1,9.96,7.97,-1.99,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"1 Convergence Research Center for Insect Vectors, Incheon National University,","Convergence Research Center for Insect Vectors, Incheon National University,","Incheon 22012, Republic of Korea; beamed79@hanmail.net H.K.; frunzeon@gmail.com O.F.;","Incheon 22012, Republic of Korea; beamed79@hanmail.net (H.K.); frunzeon@gmail.com (O.F.);",0.7,0.1,1,1,1,7.97,7.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Incheon 22012, Republic of Korea; beamed79@hanmail.net H.K.; frunzeon@gmail.com O.F.;","Incheon 22012, Republic of Korea; beamed79@hanmail.net (H.K.); frunzeon@gmail.com (O.F.);",aymaigoro@gmail.com A.Y.M.; be9020@hanmail.net M.-L.L.,aymaigoro@gmail.com (A.Y.M.); be9020@hanmail.net (M.-L.L.),0.7,0,1,1,1,7.97,7.97,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
aymaigoro@gmail.com A.Y.M.; be9020@hanmail.net M.-L.L.,aymaigoro@gmail.com (A.Y.M.); be9020@hanmail.net (M.-L.L.),"2 Department of Life Sciences, College of Life Science and Bioengineering, Incheon National University,","Department of Life Sciences, College of Life Science and Bioengineering, Incheon National University,",0.7,-0.1,1,1,0,7.97,7.97,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
"2 Department of Life Sciences, College of Life Science and Bioengineering, Incheon National University,","Department of Life Sciences, College of Life Science and Bioengineering, Incheon National University,","Incheon 22012, Republic of Korea; jeonghyeon@inu.ac.kr","Incheon 22012, Republic of Korea; jeonghyeon@inu.ac.kr",0.7,0.1,1,0,1,7.97,7.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Incheon 22012, Republic of Korea; jeonghyeon@inu.ac.kr","Incheon 22012, Republic of Korea; jeonghyeon@inu.ac.kr",***** Correspondence: hwkwon@inu.ac.kr; Tel.: +82-32-835-8090,Correspondence: hwkwon@inu.ac.kr; Tel.: +82-32-835-8090,0.7,0,1,1,1,7.97,7.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
