text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
et al. 24 proposed a fusion model that combined complementary molecular representations. Their method,et al. [24] proposed a fusion model that combined complementary molecular representations. Their method,"utilized a 3D CNN to capture local spatial features and a spatial GNN to encode global structural information,","utilized a 3D CNN to capture local spatial features and a spatial GNN to encode global structural information,",1,0,1,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"utilized a 3D CNN to capture local spatial features and a spatial GNN to encode global structural information,","utilized a 3D CNN to capture local spatial features and a spatial GNN to encode global structural information,",integrating both in a fused architecture.,integrating both in a fused architecture.,1,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
integrating both in a fused architecture.,integrating both in a fused architecture.,"The IGN framework 80 modeled protein-ligand complexes using three distinct molecular graphs, each","The IGN framework [80] modeled protein-ligand complexes using three distinct molecular graphs, each",1,14.94,0,0,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"The IGN framework 80 modeled protein-ligand complexes using three distinct molecular graphs, each","The IGN framework [80] modeled protein-ligand complexes using three distinct molecular graphs, each","incorporating both 3D structural and chemical properties. MP-GNN 81 introduced a multiphysical molecular graph representation, which systematically captured a wide range of molecular interactions across different atom types and physical scales. However, most existing biomolecular GNNs rely on covalent-bondbased graph constructions, which often fail to effectively characterize non-covalent interactions essential for","based graph constructions, which often fail to effectively characterize non-covalent interactions essential for",12.77,-14.94,0,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"incorporating both 3D structural and chemical properties. MP-GNN 81 introduced a multiphysical molecular graph representation, which systematically captured a wide range of molecular interactions across different atom types and physical scales. However, most existing biomolecular GNNs rely on covalent-bondbased graph constructions, which often fail to effectively characterize non-covalent interactions essential for","based graph constructions, which often fail to effectively characterize non-covalent interactions essential for",modeling biomolecular complexes.,modeling biomolecular complexes.,1,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
modeling biomolecular complexes.,modeling biomolecular complexes.,GraphscoreDTA 82 advanced this field by integrating a bitransport information mechanism and Vina,GraphscoreDTA [82] advanced this field by integrating a bitransport information mechanism and Vina,1,14.94,0,0,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
GraphscoreDTA 82 advanced this field by integrating a bitransport information mechanism and Vina,GraphscoreDTA [82] advanced this field by integrating a bitransport information mechanism and Vina,distance optimization terms to better capture the mutual information between proteins and ligands. This,distance optimization terms to better capture the mutual information between proteins and ligands. This,1,-14.94,0,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
distance optimization terms to better capture the mutual information between proteins and ligands. This,distance optimization terms to better capture the mutual information between proteins and ligands. This,"method also highlighted critical atomic and residue-level features. In contrast to the above, NERE 25","method also highlighted critical atomic and residue-level features. In contrast to the above, NERE [25]",1,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"method also highlighted critical atomic and residue-level features. In contrast to the above, NERE 25","method also highlighted critical atomic and residue-level features. In contrast to the above, NERE [25]","proposed an unsupervised approach to binding energy prediction, framing it as a generative modeling task.","proposed an unsupervised approach to binding energy prediction, framing it as a generative modeling task.",1,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"proposed an unsupervised approach to binding energy prediction, framing it as a generative modeling task.","proposed an unsupervised approach to binding energy prediction, framing it as a generative modeling task.","Their method, based on Neural Euler’s Rotation Equations NERE, predicted molecular rotations by modeling the forces and torques between ligand and protein atoms. However, the current implementation of","eling the forces and torques between ligand and protein atoms. However, the current implementation of",4.92,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
