text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
THE CENTRE FOR HUMANITARIAN DATA,THE CENTRE FOR HUMANITARIAN DATA,GUIDANCE NOTE SERIES,GUIDANCE NOTE SERIES,-3.93,0,1,1,1,14,12,-2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
GUIDANCE NOTE SERIES,GUIDANCE NOTE SERIES,DATA RESPONSIBILITY IN HUMANITARIAN ACTION,DATA RESPONSIBILITY IN HUMANITARIAN ACTION,-3.93,0,1,1,1,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
DATA RESPONSIBILITY IN HUMANITARIAN ACTION,DATA RESPONSIBILITY IN HUMANITARIAN ACTION,RESPONSIBLE DATA SHARING WITH DONORS,RESPONSIBLE DATA SHARING WITH DONORS,-3.93,0,1,1,1,12,19,7,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
RESPONSIBLE DATA SHARING WITH DONORS,RESPONSIBLE DATA SHARING WITH DONORS,KEY TAKEAWAYS:,KEY TAKEAWAYS:,0.9,10,0,1,1,19,11,-8,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
KEY TAKEAWAYS:,KEY TAKEAWAYS:,Sharing sensitive personal and non-personal data without adequate safeguards can exacerbate,Sharing sensitive personal and non-personal data without adequate safeguards can exacerbate,-9.72,0,1,1,1,11,11,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Sharing sensitive personal and non-personal data without adequate safeguards can exacerbate,Sharing sensitive personal and non-personal data without adequate safeguards can exacerbate,"risks for crisis-affected people, humanitarian organizations and donors.","risks for crisis-affected people, humanitarian organizations and donors.",-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"risks for crisis-affected people, humanitarian organizations and donors.","risks for crisis-affected people, humanitarian organizations and donors.",Donors regularly request data from the organizations they fund in order to fulfil their obligations,Donors regularly request data from the organizations they fund in order to fulfil their obligations,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Donors regularly request data from the organizations they fund in order to fulfil their obligations,Donors regularly request data from the organizations they fund in order to fulfil their obligations,and objectives. Some of these requests relate to sensitive information and data which needs to,and objectives. Some of these requests relate to sensitive information and data which needs to,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
and objectives. Some of these requests relate to sensitive information and data which needs to,and objectives. Some of these requests relate to sensitive information and data which needs to,be protected in order to mitigate risk.,be protected in order to mitigate risk.,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
be protected in order to mitigate risk.,be protected in order to mitigate risk.,Common objectives for data sharing with donors include: i situational awareness and,Common objectives for data sharing with donors include: (i) situational awareness and,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Common objectives for data sharing with donors include: i situational awareness and,Common objectives for data sharing with donors include: (i) situational awareness and,"programme design; ii accountability and transparency; and iii legal, regulatory, and policy","programme design; (ii) accountability and transparency; and (iii) legal, regulatory, and policy",-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"programme design; ii accountability and transparency; and iii legal, regulatory, and policy","programme design; (ii) accountability and transparency; and (iii) legal, regulatory, and policy",requirements.,requirements.,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
requirements.,requirements.,Common constraints related to sharing data with donors include: i lack of regulatory framework,Common constraints related to sharing data with donors include: (i) lack of regulatory framework,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Common constraints related to sharing data with donors include: i lack of regulatory framework,Common constraints related to sharing data with donors include: (i) lack of regulatory framework,for responsibly managing sensitive non-personal data; ii capacity gaps; and iii purpose,for responsibly managing sensitive non-personal data; (ii) capacity gaps; and (iii) purpose,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
for responsibly managing sensitive non-personal data; ii capacity gaps; and iii purpose,for responsibly managing sensitive non-personal data; (ii) capacity gaps; and (iii) purpose,limitation.,limitation.,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
limitation.,limitation.,Donors and humanitarian organizations can take the following steps to minimize risks while,Donors and humanitarian organizations can take the following steps to minimize risks while,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Donors and humanitarian organizations can take the following steps to minimize risks while,Donors and humanitarian organizations can take the following steps to minimize risks while,maximizing benefits when sharing sensitive data: i reviewing and clarifying the formal or,maximizing benefits when sharing sensitive data: (i) reviewing and clarifying the formal or,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
maximizing benefits when sharing sensitive data: i reviewing and clarifying the formal or,maximizing benefits when sharing sensitive data: (i) reviewing and clarifying the formal or,informal frameworks that govern the collection and sharing of disaggregated data; ii formalizing,informal frameworks that govern the collection and sharing of disaggregated data; (ii) formalizing,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
informal frameworks that govern the collection and sharing of disaggregated data; ii formalizing,informal frameworks that govern the collection and sharing of disaggregated data; (ii) formalizing,and standardising requests for sensitive data; iii investing in data management capacities of,and standardising requests for sensitive data; (iii) investing in data management capacities of,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
and standardising requests for sensitive data; iii investing in data management capacities of,and standardising requests for sensitive data; (iii) investing in data management capacities of,staff and organisations; and iv adopting common principles for donor data management.,staff and organisations; and (iv) adopting common principles for donor data management.,-9.72,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
staff and organisations; and iv adopting common principles for donor data management.,staff and organisations; and (iv) adopting common principles for donor data management.,INTRODUCTION,INTRODUCTION,1.1,-10,0,1,1,11,11,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
INTRODUCTION,INTRODUCTION,"Donors have an important role in the humanitarian data ecosystem, both as drivers of increased data","Donors have an important role in the humanitarian data ecosystem, both as drivers of increased data",-10.1,0,1,1,1,11,11,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"Donors have an important role in the humanitarian data ecosystem, both as drivers of increased data","Donors have an important role in the humanitarian data ecosystem, both as drivers of increased data","collection and analysis, and as direct users of data. This is not a new phenomenon; the need for","collection and analysis, and as direct users of data. This is not a new phenomenon; the need for",-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"collection and analysis, and as direct users of data. This is not a new phenomenon; the need for","collection and analysis, and as direct users of data. This is not a new phenomenon; the need for","accountability and transparency in the use of donor funding is broadly understood and respected. However,","accountability and transparency in the use of donor funding is broadly understood and respected. However,",-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"accountability and transparency in the use of donor funding is broadly understood and respected. However,","accountability and transparency in the use of donor funding is broadly understood and respected. However,","in recent years, donors have begun requesting data that can be sensitive. This includes personal data about","in recent years, donors have begun requesting data that can be sensitive. This includes personal data about",-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"in recent years, donors have begun requesting data that can be sensitive. This includes personal data about","in recent years, donors have begun requesting data that can be sensitive. This includes personal data about","beneficiaries and various forms of disaggregated data, such as household-level survey results and data","beneficiaries and various forms of disaggregated data, such as household-level survey results and data",-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"beneficiaries and various forms of disaggregated data, such as household-level survey results and data","beneficiaries and various forms of disaggregated data, such as household-level survey results and data","about the delivery of assistance disaggregated by demographic and/or group dimensions e.g. ethnicity,","about the delivery of assistance disaggregated by demographic and/or group dimensions (e.g. ethnicity,",-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"about the delivery of assistance disaggregated by demographic and/or group dimensions e.g. ethnicity,","about the delivery of assistance disaggregated by demographic and/or group dimensions (e.g. ethnicity,","protection group, etc.. 1","protection group, etc.).1",-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"protection group, etc.. 1","protection group, etc.).1",Concerns around requests for such data have led donors and humanitarian organizations to place more,Concerns around requests for such data have led donors and humanitarian organizations to place more,-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Concerns around requests for such data have led donors and humanitarian organizations to place more,Concerns around requests for such data have led donors and humanitarian organizations to place more,"emphasis on identifying strategies for data responsibility: the safe, ethical and effective management","emphasis on identifying strategies for data responsibility: the safe, ethical and effective management",-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"emphasis on identifying strategies for data responsibility: the safe, ethical and effective management","emphasis on identifying strategies for data responsibility: the safe, ethical and effective management",of data. Data responsibility requires donors and humanitarian organizations to take actions that help,of data. Data responsibility requires donors and humanitarian organizations to take actions that help,-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
of data. Data responsibility requires donors and humanitarian organizations to take actions that help,of data. Data responsibility requires donors and humanitarian organizations to take actions that help,minimize risks while maximizing benefits of data. This is particularly challenging in cases where donors,minimize risks while maximizing benefits of data. This is particularly challenging in cases where donors,-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
minimize risks while maximizing benefits of data. This is particularly challenging in cases where donors,minimize risks while maximizing benefits of data. This is particularly challenging in cases where donors,"request sensitive data. For example, the screening of aid recipients, which is often used to justify requests","request sensitive data. For example, the screening of aid recipients, which is often used to justify requests",-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"request sensitive data. For example, the screening of aid recipients, which is often used to justify requests","request sensitive data. For example, the screening of aid recipients, which is often used to justify requests","for personal data, is not only difficult to practically implement, but also highly problematic in terms of","for personal data, is not only difficult to practically implement, but also highly problematic in terms of",-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"for personal data, is not only difficult to practically implement, but also highly problematic in terms of","for personal data, is not only difficult to practically implement, but also highly problematic in terms of",principled aid. 2,principled aid.2,-10.1,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
principled aid. 2,principled aid.2,"1 Because there are well-established and accepted standards and mechanisms for sharing financial information with donors, including a role for external","1     Because there are well-established and accepted standards and mechanisms for sharing financial information with donors, including a role for external",-10.1,0,1,1,1,11,4.52,-6.48,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"1 Because there are well-established and accepted standards and mechanisms for sharing financial information with donors, including a role for external","1     Because there are well-established and accepted standards and mechanisms for sharing financial information with donors, including a role for external","audits, requests for financial data are not included in this guidance note. This guidance note deals with sensitive personal and non-personal data.","audits, requests for financial data are not included in this guidance note. This guidance note deals with sensitive personal and non-personal data.",-10.1,0,1,1,1,4.52,7.5,2.98,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"audits, requests for financial data are not included in this guidance note. This guidance note deals with sensitive personal and non-personal data.","audits, requests for financial data are not included in this guidance note. This guidance note deals with sensitive personal and non-personal data.","2 Roepstorff, K., Faltas, C. and Hövelmann, S., 2020. Counterterrorism Measures and Sanction Regimes: Shrinking Space for Humanitarian Aidhttps://www.chaberlin.org/en/publications/counterterrorism-measures-and-sanction-regimes-shrinking-space-for-humanitarian-aid-organisations/","2    Roepstorff, K., Faltas, C. and Hövelmann, S., 2020. Counterterrorism Measures and Sanction Regimes: Shrinking Space for Humanitarian Aid",-10.1,0,1,1,1,7.5,4.52,-2.98,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"2 Roepstorff, K., Faltas, C. and Hövelmann, S., 2020. Counterterrorism Measures and Sanction Regimes: Shrinking Space for Humanitarian Aidhttps://www.chaberlin.org/en/publications/counterterrorism-measures-and-sanction-regimes-shrinking-space-for-humanitarian-aid-organisations/","2    Roepstorff, K., Faltas, C. and Hövelmann, S., 2020. Counterterrorism Measures and Sanction Regimes: Shrinking Space for Humanitarian Aid",THE CENTRE FOR HUMANITARIAN DATAhttps://centre.humdata.org/ DECEMBER 2020 1,THE CENTRE FOR HUMANITARIAN DATA,-10.1,0,1,1,1,4.52,8,3.48,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"In addition, sharing seemingly innocuous data such as aggregated survey results can place already","In addition, sharing seemingly innocuous data such as aggregated survey results can place already",vulnerable people and communities at greater risk. What may be initially considered non-personal data 3,vulnerable people and communities at greater risk. What may be initially considered non-personal data3,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
vulnerable people and communities at greater risk. What may be initially considered non-personal data 3,vulnerable people and communities at greater risk. What may be initially considered non-personal data3,"can allow for re-identification of individuals, communities and demographic groups. Re-identification","can allow for re-identification of individuals, communities and demographic groups. Re-identification",-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"can allow for re-identification of individuals, communities and demographic groups. Re-identification","can allow for re-identification of individuals, communities and demographic groups. Re-identification",occurs when data can be traced back or linked to an individuals or groups of individuals because it is not,occurs when data can be traced back or linked to an individual(s) or group(s) of individuals because it is not,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
occurs when data can be traced back or linked to an individuals or groups of individuals because it is not,occurs when data can be traced back or linked to an individual(s) or group(s) of individuals because it is not,"adequately anonymized. This can result in a violation of data protection, privacy and other human rights","adequately anonymized. This can result in a violation of data protection, privacy and other human rights",-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"adequately anonymized. This can result in a violation of data protection, privacy and other human rights","adequately anonymized. This can result in a violation of data protection, privacy and other human rights",and can allow for targeting of individuals or groups with violence or other forms of harm. 4,and can allow for targeting of individuals or groups with violence or other forms of harm.4,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
and can allow for targeting of individuals or groups with violence or other forms of harm. 4,and can allow for targeting of individuals or groups with violence or other forms of harm.4,Many donors and humanitarian actors recognize the risks and benefits associated with sharing such,Many donors and humanitarian actors recognize the risks and benefits associated with sharing such,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Many donors and humanitarian actors recognize the risks and benefits associated with sharing such,Many donors and humanitarian actors recognize the risks and benefits associated with sharing such,"sensitive data, but the sector has yet to establish a common understanding of how to balance these risks","sensitive data, but the sector has yet to establish a common understanding of how to balance these risks",-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"sensitive data, but the sector has yet to establish a common understanding of how to balance these risks","sensitive data, but the sector has yet to establish a common understanding of how to balance these risks","and benefits effectively. Recent efforts to address this issue have led to more clarity on current practices,","and benefits effectively. Recent efforts to address this issue have led to more clarity on current practices,",-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"and benefits effectively. Recent efforts to address this issue have led to more clarity on current practices,","and benefits effectively. Recent efforts to address this issue have led to more clarity on current practices,","as well as on the objectives and constraints of data sharing. In September 2020, the Government of","as well as on the objectives and constraints of data sharing. In September 2020, the Government of",-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"as well as on the objectives and constraints of data sharing. In September 2020, the Government of","as well as on the objectives and constraints of data sharing. In September 2020, the Government of","Switzerland, the International Committee of the Red Cross ICRC and the United Nations Office for","Switzerland, the International Committee of the Red Cross (ICRC) and the United Nations Office for",-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Switzerland, the International Committee of the Red Cross ICRC and the United Nations Office for","Switzerland, the International Committee of the Red Cross (ICRC) and the United Nations Office for",Coordination of Humanitarian Affairs UN OCHA Centre for Humanitarian Data the Centre organized a,Coordination of Humanitarian Affairs (UN OCHA) Centre for Humanitarian Data (the Centre) organized a,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Coordination of Humanitarian Affairs UN OCHA Centre for Humanitarian Data the Centre organized a,Coordination of Humanitarian Affairs (UN OCHA) Centre for Humanitarian Data (the Centre) organized a,virtual Wilton Park dialogue to help build common understanding on this issue. 5,virtual Wilton Park dialogue to help build common understanding on this issue.5,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
virtual Wilton Park dialogue to help build common understanding on this issue. 5,virtual Wilton Park dialogue to help build common understanding on this issue.5,This guidance note synthesizes the outcomes of this dialogue and a related desk review. 6 It describes the,This guidance note synthesizes the outcomes of this dialogue and a related desk review.6 It describes the,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
