text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
The Andhra Agric. J 67 Spl: IARD-2020: 75-80,The Andhra Agric. J 67 Spl: (IARD-2020): 75-80,Evaluation of Bio-intensive Integrated Pest Management Strategies against Sugarcane Borer Complex,Evaluation of Bio-intensive Integrated Pest Management Strategies against,46.44,-234.72,0,0,1,11.04,13.92,2.88,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
Evaluation of Bio-intensive Integrated Pest Management Strategies against Sugarcane Borer Complex,Evaluation of Bio-intensive Integrated Pest Management Strategies against,D Sudha Rani and K Krishnamma,D Sudha Rani and K Krishnamma,32.24,145.44,0,1,1,13.92,11.04,-2.88,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
D Sudha Rani and K Krishnamma,D Sudha Rani and K Krishnamma,"Sugarcane Research Station, Vuyyuru, A. P.","Sugarcane Research Station, Vuyyuru, A. P.",1,-15.84,0,1,1,11.04,11.04,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"Sugarcane Research Station, Vuyyuru, A. P.","Sugarcane Research Station, Vuyyuru, A. P.",ABSTRACT,ABSTRACT,11.44,72,0,1,1,11.04,10.08,-0.96,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
ABSTRACT,ABSTRACT,One of the major biotic production constraints encountered by sugarcane growing farmers was infestation by,One of the major biotic production constraints encountered by sugarcane growing farmers was infestation by,3.8,-179.04,0,1,1,10.08,10.08,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
One of the major biotic production constraints encountered by sugarcane growing farmers was infestation by,One of the major biotic production constraints encountered by sugarcane growing farmers was infestation by,"sugarcane borers viz ., early shoot borer, internode borer and top shoot borer. Over reliance on synthetic pesticides to","sugarcane borers viz., early shoot borer, internode borer and top shoot borer. Over reliance on synthetic pesticides to",0.86,-36,0,1,0,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"sugarcane borers viz ., early shoot borer, internode borer and top shoot borer. Over reliance on synthetic pesticides to","sugarcane borers viz., early shoot borer, internode borer and top shoot borer. Over reliance on synthetic pesticides to","manage the sugarcane borer complex may lead to ecological adversity, health related tribulations and unintended","manage the sugarcane borer complex may lead to ecological adversity, health related tribulations and unintended",0.86,0,1,0,1,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"manage the sugarcane borer complex may lead to ecological adversity, health related tribulations and unintended","manage the sugarcane borer complex may lead to ecological adversity, health related tribulations and unintended","consequences hampering the sustainability of the production system. Realizing this, studies on bio intensive pest","consequences hampering the sustainability of the production system. Realizing this, studies on bio intensive pest",0.86,0,1,1,1,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"consequences hampering the sustainability of the production system. Realizing this, studies on bio intensive pest","consequences hampering the sustainability of the production system. Realizing this, studies on bio intensive pest","management BIPM strategies in sugarcane were undertaken at four locations of Krishna district, Andhra Pradesh during","management (BIPM) strategies in sugarcane were undertaken at four locations of Krishna district, Andhra Pradesh during",0.86,0,1,1,1,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"management BIPM strategies in sugarcane were undertaken at four locations of Krishna district, Andhra Pradesh during","management (BIPM) strategies in sugarcane were undertaken at four locations of Krishna district, Andhra Pradesh during","the year 2019. The results inferred that the field release of Trichogramma chilonis @ 50,000 ha -1 at 30 DAP and two times","the year 2019. The results inferred that the field release of Trichogramma chilonis @ 50,000 ha-1 at 30 DAP and two times",0.86,0,1,1,0,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
