text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
OPEN,OPEN,www.nature.com/scientificreportshttp://www.nature.com/scientificreports,www.nature.com/scientificreports,-513.27,297,0,0,0,18,10,-8,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1
www.nature.com/scientificreportshttp://www.nature.com/scientificreports,www.nature.com/scientificreports,Drug discovery and mechanism prediction with explainable graph neural networks,prediction with explainable graph,492.76,-234.66,0,0,1,10,26,16,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0
Drug discovery and mechanism prediction with explainable graph neural networks,prediction with explainable graph,"Conghao Wang, Gaurav Asok Kumar & Jagath C. Rajapakse ?","Conghao Wang, Gaurav Asok Kumar & Jagath C. Rajapakse?",133.15,0,1,1,1,26,10,-16,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
"Conghao Wang, Gaurav Asok Kumar & Jagath C. Rajapakse ?","Conghao Wang, Gaurav Asok Kumar & Jagath C. Rajapakse?",Apprehension of drug action mechanism is paramount for drug response prediction and precision,Apprehension of drug action mechanism is paramount for drug response prediction and precision,32.95,0,1,1,1,10,9,-1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Apprehension of drug action mechanism is paramount for drug response prediction and precision,Apprehension of drug action mechanism is paramount for drug response prediction and precision,medicine. The unprecedented development of machine learning and deep learning algorithms has,medicine. The unprecedented development of machine learning and deep learning algorithms has,1,0,1,1,1,9,9,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
medicine. The unprecedented development of machine learning and deep learning algorithms has,medicine. The unprecedented development of machine learning and deep learning algorithms has,"expedited the drug response prediction research. However, existing methods mainly focus on forward","expedited the drug response prediction research. However, existing methods mainly focus on forward",1,0,1,1,0,9,9,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"expedited the drug response prediction research. However, existing methods mainly focus on forward","expedited the drug response prediction research. However, existing methods mainly focus on forward","encoding of drugs, which is to obtain an accurate prediction of the response levels, but omitted to","encoding of drugs, which is to obtain an accurate prediction of the response levels, but omitted to",1,0,1,0,1,9,9,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"encoding of drugs, which is to obtain an accurate prediction of the response levels, but omitted to","encoding of drugs, which is to obtain an accurate prediction of the response levels, but omitted to",decipher the reaction mechanism between drug molecules and genes. We propose the eXplainable,decipher the reaction mechanism between drug molecules and genes. We propose the eXplainable,1,0,1,1,1,9,9,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
decipher the reaction mechanism between drug molecules and genes. We propose the eXplainable,decipher the reaction mechanism between drug molecules and genes. We propose the eXplainable,Graph-based Drug response Prediction XGDP approach that achieves a precise drug response,Graph-based Drug response Prediction (XGDP) approach that achieves a precise drug response,1,0,1,1,1,9,9,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Graph-based Drug response Prediction XGDP approach that achieves a precise drug response,Graph-based Drug response Prediction (XGDP) approach that achieves a precise drug response,prediction and reveals the comprehensive mechanism of action between drugs and their targets.,prediction and reveals the comprehensive mechanism of action between drugs and their targets.,1,0,1,1,1,9,9,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
