text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
Peer Review Framework for Predictive Analytics in Humanitarian Response,Peer Review Framework for Predictive Analytics,MODEL REPORT:,MODEL REPORT:,2.12,1.42,1,1,0,18.0,26.0,8.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
MODEL REPORT:,MODEL REPORT:,Drought Anticipatory Action Trigger in Niger,Drought Anticipatory Action,0.2,0.0,1,0,0,26.0,28.0,2.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1
Drought Anticipatory Action Trigger in Niger,Drought Anticipatory Action,"Anticipatory Action Working Group, Niger","Anticipatory Action Working Group, Niger",1.41,0.0,1,0,0,28.0,16.0,-12.0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0
"Anticipatory Action Working Group, Niger","Anticipatory Action Working Group, Niger",January 2023,January 2023,0.59,0.0,1,0,0,16.0,18.0,2.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
Model Report: Anticipatory Action Trigger for Drought in Niger,Anticipatory Action Trigger for Drought in Niger,1. Background,1. Background,14.75,0.0,1,1,0,16.0,12.0,-4.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
1. Background,1. Background,This document summarizes the documentation and findings developed in the peer review of the,This document summarizes the documentation and findings developed in the peer review of the,1.08,0.0,1,0,1,12.0,11.0,-1.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
This document summarizes the documentation and findings developed in the peer review of the,This document summarizes the documentation and findings developed in the peer review of the,Anticipatory Action Trigger for Drought in Niger. The trigger mechanism was designed for an,Anticipatory Action Trigger for Drought in Niger. The trigger mechanism was designed for an,1.0,0.0,1,1,1,11.0,11.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Anticipatory Action Trigger for Drought in Niger. The trigger mechanism was designed for an,Anticipatory Action Trigger for Drought in Niger. The trigger mechanism was designed for an,anticipatory action framework coordinated by OCHA. The goal of the trigger mechanism is to,anticipatory action framework coordinated by OCHA. The goal of the trigger mechanism is to,1.0,0.0,1,1,1,11.0,11.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
anticipatory action framework coordinated by OCHA. The goal of the trigger mechanism is to,anticipatory action framework coordinated by OCHA. The goal of the trigger mechanism is to,detect increased drought risk in Niger and trigger the release of funds from the Central,detect increased drought risk in Niger and trigger the release of funds from the Central,1.0,0.0,1,1,1,11.0,11.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
detect increased drought risk in Niger and trigger the release of funds from the Central,detect increased drought risk in Niger and trigger the release of funds from the Central,Emergency Response Fund in anticipation of drought-related humanitarian needs. The release,Emergency Response Fund in anticipation of drought-related humanitarian needs. The release,1.0,0.0,1,1,1,11.0,11.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Emergency Response Fund in anticipation of drought-related humanitarian needs. The release,Emergency Response Fund in anticipation of drought-related humanitarian needs. The release,of funds can be triggered from six months ahead of the rainy season which runs from July,of funds can be triggered from six months ahead of the rainy season (which runs from July,1.0,0.0,1,1,1,11.0,11.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
