text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
"GEOPHYSICAL RESEARCH LETTERS, VOL. 36, L19803, doi:10.1029/2009GL040248, 2009","GEOPHYSICAL RESEARCH LETTERS, VOL. 36, L19803, doi:10.1029/2009GL040248, 2009",Click,Click,-0.3,-60.14,0,1,0,8.97,7.89,-1.07,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Click,Click,Here,Here,-0.44,0.2,1,0,0,7.89,7.89,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Here,Here,for,for,-0.17,6.42,0,0,0,7.89,5.35,-2.54,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
for,for,Fullhttp://dx.doi.org/10.1029/2009GL040248,doi:10.1029/2009GL040248.,164.18,-14.74,0,0,0,5.35,9.01,3.66,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Fullhttp://dx.doi.org/10.1029/2009GL040248,doi:10.1029/2009GL040248.,Article,Article,-164.23,0.12,1,0,0,9.01,10.87,1.87,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Article,Article,Direct observations of N 2 O 5 reactivity on ambient aerosol particles,Direct observations of N2O5 reactivity on ambient aerosol particles,9.4,-0.11,1,0,0,10.87,13.95,3.07,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0
Direct observations of N 2 O 5 reactivity on ambient aerosol particles,Direct observations of N2O5 reactivity on ambient aerosol particles,"Timothy H. Bertram, 1,2 Joel A. Thornton, 1 Theran P. Riedel, 3 Ann M. Middlebrook, 4","Timothy H. Bertram,1,2 Joel A. Thornton,1 Theran P. Riedel,3 Ann M. Middlebrook,4",5.41,0,1,0,0,13.95,10.96,-2.99,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
"Timothy H. Bertram, 1,2 Joel A. Thornton, 1 Theran P. Riedel, 3 Ann M. Middlebrook, 4","Timothy H. Bertram,1,2 Joel A. Thornton,1 Theran P. Riedel,3 Ann M. Middlebrook,4","Roya Bahreini, 4,5 Timothy S. Bates, 6 Patricia K. Quinn, 6 and Derek J. Coffman 6","Roya Bahreini,4,5 Timothy S. Bates,6 Patricia K. Quinn,6 and Derek J. Coffman6",1.58,0,1,0,0,10.96,10.96,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Roya Bahreini, 4,5 Timothy S. Bates, 6 Patricia K. Quinn, 6 and Derek J. Coffman 6","Roya Bahreini,4,5 Timothy S. Bates,6 Patricia K. Quinn,6 and Derek J. Coffman6",Received 28 July 2009; accepted 10 September 2009; published 8 October 2009.,Received 28 July 2009; accepted 10 September 2009; published 8 October 2009.,4.22,0,1,0,0,10.96,7.97,-2.99,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Received 28 July 2009; accepted 10 September 2009; published 8 October 2009.,Received 28 July 2009; accepted 10 September 2009; published 8 October 2009.,1  N 2 O 5 reactivity has been measured directly for the first,N2O5 reactivity has been measured directly for the first,3.82,19.96,0,0,0,7.97,10,2.03,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
1  N 2 O 5 reactivity has been measured directly for the first,N2O5 reactivity has been measured directly for the first,time on ambient aerosol particles using an entrained aerosol,time on ambient aerosol particles using an entrained aerosol,1,-19.96,0,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
time on ambient aerosol particles using an entrained aerosol,time on ambient aerosol particles using an entrained aerosol,flow reactor coupled to a custom-built chemical ionization,flow reactor coupled to a custom-built chemical ionization,1,0,1,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
flow reactor coupled to a custom-built chemical ionization,flow reactor coupled to a custom-built chemical ionization,mass spectrometer at two urban locations during summer.,mass spectrometer at two urban locations during summer.,1,0,1,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
mass spectrometer at two urban locations during summer.,mass spectrometer at two urban locations during summer.,The observed N 2 O 5 reactivity is a strong function of both,The observed N2O5 reactivity is a strong function of both,1,0,1,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
The observed N 2 O 5 reactivity is a strong function of both,The observed N2O5 reactivity is a strong function of both,relative humidity RH and particle chemical composition.,relative humidity (RH) and particle chemical composition.,1.03,0,1,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
relative humidity RH and particle chemical composition.,relative humidity (RH) and particle chemical composition.,"We show that particulate organic mass loadings, together","We show that particulate organic mass loadings, together",1,0,1,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
"We show that particulate organic mass loadings, together","We show that particulate organic mass loadings, together","with ambient relative humidity, play a leading role in","with ambient relative humidity, play a leading role in",1,0,1,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"with ambient relative humidity, play a leading role in","with ambient relative humidity, play a leading role in",determining the reaction rate of N 2 O 5 with particles. Our,determining the reaction rate of N2O5 with particles. Our,1,0,1,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
determining the reaction rate of N 2 O 5 with particles. Our,determining the reaction rate of N2O5 with particles. Our,"observed reactivity values are both more variable and, at","observed reactivity values are both more variable and, at",1,0,1,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
